input,itemsJson,totalKcal,mealType,timeOffset
ate 200 gr raspberries + 1 cup whole milk snack 13h ago,"[{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137}]",240,snack,-PT13H
15 g raw english walnut halves + 200 gr strawberries ln 26d ago,"[{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62}]",164,late_night,-P26D
chinese fried rice without meat 1cup + sweet and sour pork 3 pieces lunch,"[{""name"":""restaurant, chinese, fried rice, without meat"",""quantity"":1,""unit"":""cup"",""kcal"":231},{""name"":""restaurant, chinese, sweet and sour pork"",""quantity"":3,""unit"":""piece"",""kcal"":109}]",340,lunch,PT0M
1cup whole milk + 150 grams blueberries,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86}]",223,unknown,PT0M
ate cooked meat-only chicken drumstick 200 grams + 100 gr raw romaine lettuce,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312},{""name"":""lettuce, romaine, green, raw"",""quantity"":100,""unit"":""g"",""kcal"":17}]",329,unknown,PT0M
raspberries g150 + whole raw almonds 15 grams,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",165,unknown,PT0M
whole milk 1 cup + 150 gr strawberries snack,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47}]",184,snack,PT0M
ate blueberries 150g + 15 g raw peanuts late night 17d ago,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",169,late_night,-P17D
ate g150 cooked meat-only chicken drumstick + g150 raw romaine lettuce 260 cal dinner 24d ago,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":150,""unit"":""g"",""kcal"":234},{""name"":""lettuce, romaine, green, raw"",""quantity"":150,""unit"":""g"",""kcal"":26}]",260,dinner,-P24D
ate whole milk 1 cup + 100 gr raspberries 188 cal bf,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51}]",188,breakfast,PT0M
g150 strawberries + raw english walnut halves 15 g snack 5h ago,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",149,snack,-PT5H
100g cooked meat-only chicken drumstick + 100 grams raw romaine lettuce -6d,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":100,""unit"":""g"",""kcal"":156},{""name"":""lettuce, romaine, green, raw"",""quantity"":100,""unit"":""g"",""kcal"":17}]",173,unknown,-P6D
ate raw peanuts 15g + 100 g red delicious apple 145 cal late night 19h ago,"[{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83},{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62}]",145,late_night,-PT19H
1piece cooked skinless boneless chicken breast + raw romaine lettuce 50 grams 298 cal dinner,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":1,""unit"":""piece"",""kcal"":289},{""name"":""lettuce, romaine, green, raw"",""quantity"":50,""unit"":""g"",""kcal"":9}]",298,dinner,PT0M
whole milk cup1 + 200 grams red delicious apple,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124}]",261,unknown,PT0M
raspberries g100 + whole milk 2 cups 23h ago,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275}]",326,unknown,-PT23H
100 g raspberries + raw peanuts 15 g 7h ago,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",134,unknown,-PT7H
ate 200 grams red delicious apple + raw english walnut halves 20 grams late night,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",260,late_night,PT0M
200g red delicious apple + 20 gr raw peanuts bf 19d ago,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",234,breakfast,-P19D
2% milk cup2 + g100 raspberries snack 18d ago,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51}]",278,snack,-P18D
ate 1 cup whole milk + 100 g strawberries,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31}]",168,unknown,PT0M
200 grams strawberries + raw peanuts 30 grams,"[{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",227,unknown,PT0M
ate 100 grams strawberries + 30 g raw english walnut halves snack,"[{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",235,snack,PT0M
raw peanuts 15 grams + strawberries 100 gr snack,"[{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83},{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31}]",114,snack,PT0M
50 g raw cucumber with peel + cooked meat-only chicken drumstick g100,"[{""name"":""cucumber, with peel, raw"",""quantity"":50,""unit"":""g"",""kcal"":7},{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":100,""unit"":""g"",""kcal"":156}]",163,unknown,PT0M
cup2 2% milk + blueberries 200 gr 342kcal 2d ago,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115}]",342,unknown,-P2D
2piece cooked skinless boneless chicken breast + 150 grams raw cucumber with peel dinner,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""cucumber, with peel, raw"",""quantity"":150,""unit"":""g"",""kcal"":21}]",599,dinner,PT0M
ate g200 raspberries + 20g whole raw almonds bf,"[{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",220,breakfast,PT0M
strawberries 200 gr + raw english walnut halves 30 gr breakfast -8h,"[{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",266,breakfast,-PT8H
2cup whole milk + blueberries g200 breakfast -1h,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115}]",390,breakfast,-PT1H
150 grams raspberries + 20 grams whole raw almonds bf,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",194,breakfast,PT0M
150 grams raspberries + whole raw almonds 30 g snack,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",252,snack,PT0M
200 gr cooked meat-only chicken drumstick + 150 grams raw roma tomato,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312},{""name"":""tomato, roma"",""quantity"":150,""unit"":""g"",""kcal"":28}]",340,unknown,PT0M
ate cooked meat-only chicken drumstick 100 gr + 150 grams raw roma tomato 184 cal dinner -20h,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":100,""unit"":""g"",""kcal"":156},{""name"":""tomato, roma"",""quantity"":150,""unit"":""g"",""kcal"":28}]",184,dinner,-PT20H
1cup whole milk + g100 blueberries snack,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57}]",194,snack,PT0M
100 gr red delicious apple + whole raw almonds g30,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",237,unknown,PT0M
1cup whole milk + 200 gr strawberries kcal199 snack,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62}]",199,snack,PT0M
ate 200g red delicious apple + whole raw almonds 15g late night,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",212,late_night,PT0M
raw english walnut halves 20 g + strawberries 150 gr -19h,"[{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136},{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47}]",183,unknown,-PT19H
strawberries 100 g + whole raw almonds 20 grams ln 5h ago,"[{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",148,late_night,-PT5H
200g strawberries + g15 whole raw almonds late night 11d ago,"[{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",150,late_night,-P11D
strawberries g100 + g30 raw peanuts late night 3h ago,"[{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",196,late_night,-PT3H
blueberries 100g + raw peanuts g20 late night -11d,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",167,late_night,-P11D
g100 blueberries + 15 gr raw english walnut halves kcal159 12h ago,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",159,unknown,-PT12H
raw cucumber with peel g100 + cooked skinless boneless chicken breast 1piece lunch,"[{""name"":""cucumber, with peel, raw"",""quantity"":100,""unit"":""g"",""kcal"":14},{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":1,""unit"":""piece"",""kcal"":289}]",303,lunch,PT0M
ate raspberries 100 g + raw english walnut halves 15 grams kcal153 ln -7h,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",153,late_night,-PT7H
20 g raw peanuts + 150 g blueberries snack,"[{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86}]",196,snack,PT0M
whole raw almonds 30 g + g200 blueberries -22h,"[{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115}]",290,unknown,-PT22H
red delicious apple 100 grams + 20 gr whole raw almonds 179 cal late night 3h ago,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",179,late_night,-PT3H
2 cups 2% milk + red delicious apple 100 gr bf,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62}]",289,breakfast,PT0M
1 cup whole milk + red delicious apple 150 g -28d,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93}]",230,unknown,-P28D
whole milk cup2 + g200 raspberries bf,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103}]",378,breakfast,PT0M
g150 blueberries + g15 whole raw almonds,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",174,unknown,PT0M
30 gr whole raw almonds + 100 g strawberries,"[{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175},{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31}]",206,unknown,PT0M
ate raw cucumber with peel 50 g + 1piece cooked skinless boneless chicken breast lunch -15h,"[{""name"":""cucumber, with peel, raw"",""quantity"":50,""unit"":""g"",""kcal"":7},{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":1,""unit"":""piece"",""kcal"":289}]",296,lunch,-PT15H
ate cooked meat-only chicken drumstick 200 grams + raw cucumber with peel g50 -15h,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312},{""name"":""cucumber, with peel, raw"",""quantity"":50,""unit"":""g"",""kcal"":7}]",319,unknown,-PT15H
ate g200 red delicious apple + raw peanuts 15 g breakfast,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",207,breakfast,PT0M
ate cooked meat-only chicken drumstick 150 gr + 100 grams raw roma tomato dinner,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":150,""unit"":""g"",""kcal"":234},{""name"":""tomato, roma"",""quantity"":100,""unit"":""g"",""kcal"":19}]",253,dinner,PT0M
cooked skinless boneless chicken breast 1piece + 150 gr raw roma tomato 317 cal,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":1,""unit"":""piece"",""kcal"":289},{""name"":""tomato, roma"",""quantity"":150,""unit"":""g"",""kcal"":28}]",317,unknown,PT0M
200 grams cooked meat-only chicken drumstick + raw romaine lettuce 50 g kcal321 12h ago,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312},{""name"":""lettuce, romaine, green, raw"",""quantity"":50,""unit"":""g"",""kcal"":9}]",321,unknown,-PT12H
red delicious apple 150g + 30 g raw english walnut halves 297 cal breakfast,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",297,breakfast,PT0M
ate 100 g cooked meat-only chicken drumstick + g100 raw cucumber with peel dinner,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":100,""unit"":""g"",""kcal"":156},{""name"":""cucumber, with peel, raw"",""quantity"":100,""unit"":""g"",""kcal"":14}]",170,dinner,PT0M
150 grams raspberries + 30 g raw peanuts -7h,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",242,unknown,-PT7H
red delicious apple g150 + 30 grams whole raw almonds snack -8d,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",268,snack,-P8D
sweet and sour pork piece6 + chinese fried rice without meat 1cup,"[{""name"":""restaurant, chinese, sweet and sour pork"",""quantity"":6,""unit"":""piece"",""kcal"":217},{""name"":""restaurant, chinese, fried rice, without meat"",""quantity"":1,""unit"":""cup"",""kcal"":231}]",448,unknown,PT0M
200 grams raspberries + raw peanuts 15 grams 24d ago,"[{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",186,unknown,-P24D
red delicious apple 200 gr + raw english walnut halves 30 grams,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",328,unknown,PT0M
raw cucumber with peel g100 + 150 gr cooked meat-only chicken drumstick -10h,"[{""name"":""cucumber, with peel, raw"",""quantity"":100,""unit"":""g"",""kcal"":14},{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":150,""unit"":""g"",""kcal"":234}]",248,unknown,-PT10H
g200 blueberries + raw peanuts 15 gr snack,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",198,snack,PT0M
150g red delicious apple + raw english walnut halves 20 g -5h,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",229,unknown,-PT5H
2% milk 2cup + 150g raspberries 304 cal,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77}]",304,unknown,PT0M
raw english walnut halves 20 g + g100 blueberries 193kcal,"[{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57}]",193,unknown,PT0M
cooked meat-only chicken drumstick 200 grams + g150 raw romaine lettuce dinner,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312},{""name"":""lettuce, romaine, green, raw"",""quantity"":150,""unit"":""g"",""kcal"":26}]",338,dinner,PT0M
ate cooked skinless boneless chicken breast 2 pieces + raw cucumber with peel 100 gr dinner,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""cucumber, with peel, raw"",""quantity"":100,""unit"":""g"",""kcal"":14}]",592,dinner,PT0M
g100 raspberries + raw english walnut halves 30 g 255kcal,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",255,unknown,PT0M
ate red delicious apple 100g + raw english walnut halves 30 grams snack 14d ago,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",266,snack,-P14D
ate raw roma tomato 100 grams + 2 pieces cooked skinless boneless chicken breast,"[{""name"":""tomato, roma"",""quantity"":100,""unit"":""g"",""kcal"":19},{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578}]",597,unknown,PT0M
ate g150 blueberries + 30 g raw peanuts breakfast,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",251,breakfast,PT0M
