input,activityName,averageHeartRate,kcal,distance,distanceUnit,duration,elevationGain,pace,poolLength,poolLengthUnit,speed,steps,swimLengths
walk kcal337 45min 14sec,Walk,,337,,,2714000,,,,,,,
treadmill sec2420 630kcal,Treadmill,,630,,,2420000,,,,,,,
walk 164kcal +24.38m b99 18min 47sec steps1415,Walk,99,164,,,1127000,24.38,,,,,1415,
sport avg112 steps4.84k min72 kcal729,Sport,112,729,,,4320000,,,,,,4840,
walk steps1398 up24.38m hr101 159kcal 17 min,Walk,101,159,,,1020000,24.38,,,,,1398,
walk bpm96 18.8 1620 steps 172kcal up30.48m,Walk,96,172,,,1128000,30.48,,,,,1620,
sport 446 steps kcal112 20m29s b85,Sport,85,112,,,1229000,,,,,,446,
walk 92bpm 19.6 steps1530,Walk,92,,,,1176000,,,,,,1530,
walk 165kcal 18.8min b98 step1559,Walk,98,165,,,1128000,,,,,,1559,
walk 1178sec 101hr 1.62k steps,Walk,101,,,,1178000,,,,,,1620,
walk hr98 sec1126 172kcal steps1660,Walk,98,172,,,1126000,,,,,,1660,
walk 22.2 104hr +15.24m steps1906,Walk,104,,,,1332000,15.24,,,,,1906,
walk steps1162 20.5 151kcal,Walk,,151,,,1230000,,,,,,1162,
walk 12.19m gain 188kcal 101b 20min 29sec steps1708,Walk,101,188,,,1229000,12.19,,,,,1708,
walk 1639sec 97 bpm,Walk,97,,,,1639000,,,,,,,
walk 1633steps 177kcal sec1229,Walk,,177,,,1229000,,,,,,1633,
walk b100 5543 steps 1h2m18s 574kcal,Walk,100,574,,,3738000,,,,,,5543,
walk 42m40s 328kcal,Walk,,328,,,2560000,,,,,,,
walk elev3.05m bpm96 18 min 157kcal 1.49ksteps,Walk,96,157,,,1080000,3.05,,,,,1490,
walk 17.9min avg106,Walk,106,,,,1074000,,,,,,,
walk 1331sec kcal184 1603steps b94,Walk,94,184,,,1331000,,,,,,1603,
walk step1877 21.3min b109 kcal219,Walk,109,219,,,1278000,,,,,,1877,
walk 28.9min 2272steps 237kcal,Walk,,237,,,1734000,,,,,,2272,
walk kcal325 33m17s 3233 steps,Walk,,325,,,1997000,,,,,,3233,
walk 25min 36sec kcal173,Walk,,173,,,1536000,,,,,,,
walk 29min 52sec 102b 282kcal elev36.58m steps2725,Walk,102,282,,,1792000,36.58,,,,,2725,
walk 102b 189kcal 1229sec,Walk,102,189,,,1229000,,,,,,,
walk 306kcal avg97 36 min,Walk,97,306,,,2160000,,,,,,,
walk 100b 98min,Walk,100,,,,5880000,,,,,,,
walk bpm102 kcal159 17.9 elev3.05m steps1377,Walk,102,159,,,1074000,3.05,,,,,1377,
walk 17.1min steps1.38k up9.14m kcal154 avg102,Walk,102,154,,,1026000,9.14,,,,,1380,
walk 51.2min 106bpm,Walk,106,,,,3072000,,,,,,,
walk b105 840kcal 5018s steps7441 gain91.44m,Walk,105,840,,,5018000,91.44,,,,,7441,
walk 1219 steps 1024s,Walk,,,,,1024000,,,,,,1219,
walk 87bpm min20,Walk,87,,,,1200000,,,,,,,
run step3913 26min 3860m,Run,,,3.86,km,1560000,,404.15,,,8.91,3913,
walk 29min 1sec 235kcal 92b,Walk,92,235,,,1741000,,,,,,,
walk step2597 bpm92 31 min elev67.06m kcal265,Walk,92,265,,,1860000,67.06,,,,,2597,
walk 20m29s b100,Walk,100,,,,1229000,,,,,,,
walk 17min 27.43m gain 151kcal,Walk,,151,,,1020000,27.43,,,,,,
walk 23.9min 198kcal 1.89k steps 90b gain54.86m,Walk,90,198,,,1434000,54.86,,,,,1890,
walk 24 min steps2395,Walk,,,,,1440000,,,,,,2395,
treadmill 1896sec 2.42 mi,Treadmill,,,3.89,km,1896000,,486.83,,,7.39,,
walk bpm99 43min 405kcal,Walk,99,405,,,2580000,,,,,,,
walk kcal184 24min 44sec,Walk,,184,,,1484000,,,,,,,
run 147bpm 815kcal 7.14 km up53.65m 7.47ksteps 50.7min,Run,147,815,7.14,km,3042000,53.65,426.05,,,8.45,7470,
walk avg105 171kcal,Walk,105,171,,,,,,,,,,
walk 31m34s 296kcal 100b,Walk,100,296,,,1894000,,,,,,,
walk elev24.38m kcal252 steps2535 27.3,Walk,,252,,,1638000,24.38,,,,,2535,
treadmill kcal491 4000 m step4206 34.2,Treadmill,,491,4.0,km,2052000,,513,,,7.02,4206,
walk kcal531 3226s hr105,Walk,105,531,,,3226000,,,,,,,
walk kcal264 106 bpm 26.4min,Walk,106,264,,,1584000,,,,,,,
walk 25.6min kcal266 2.49k steps 106bpm,Walk,106,266,,,1536000,,,,,,2490,
sport 56 min 3472steps kcal586 hr113,Sport,113,586,,,3360000,,,,,,3472,
walk 58min 54sec +42.67m 550kcal avg98 steps5538,Walk,98,550,,,3534000,42.67,,,,,5538,
walk kcal137 hr93 17min 4sec gain15.24m,Walk,93,137,,,1024000,15.24,,,,,,
walk 18min 47sec 162kcal step1691,Walk,,162,,,1127000,,,,,,1691,
walk up48.67m 172kcal step1681 16m12s 105bpm,Walk,105,172,,,972000,48.67,,,,,1681,
walk 15m22s 140kcal 101bpm,Walk,101,140,,,922000,,,,,,,
walk 248kcal up30.48m hr92 29.9 steps2.4k,Walk,92,248,,,1794000,30.48,,,,,2400,
walk 36.58m gain 28.2min,Walk,,,,,1692000,36.58,,,,,,
treadmill 5.36k 33.6,Treadmill,,,5.36,km,2016000,,376.12,,,9.57,,
walk 25min avg86,Walk,86,,,,1500000,,,,,,,
walk 556kcal avg98 up57.91m 1h 3min 8sec,Walk,98,556,,,3788000,57.91,,,,,,
walk 17m55s gain21.34m,Walk,,,,,1075000,21.34,,,,,,
sport 289kcal steps1629 136bpm 20.5min,Sport,136,289,,,1230000,,,,,,1629,
walk 145kcal 101b 15m21s step1182,Walk,101,145,,,921000,,,,,,1182,
walk 26min kcal234,Walk,,234,,,1560000,,,,,,,
walk 16m13s 121kcal,Walk,,121,,,973000,,,,,,,
run +132.59m km7.07 752kcal 52.8,Run,,752,7.07,km,3168000,132.59,448.09,,,8.03,,
walk kcal555 5689 steps bpm85 1h 16min 48sec,Walk,85,555,,,4608000,,,,,,5689,
walk 15m22s steps1.25k avg96 kcal141 +6.1m,Walk,96,141,,,922000,6.1,,,,,1250,
walk 28m9s 101 bpm 2266 steps elev39.62m kcal268,Walk,101,268,,,1689000,39.62,,,,,2266,
walk 1024s 85hr 131kcal up9.14m,Walk,85,131,,,1024000,9.14,,,,,,
sport 4301s 4851steps,Sport,,,,,4301000,,,,,,4851,
walk 29min 2.02ksteps kcal212 87bpm,Walk,87,212,,,1740000,,,,,,2020,
run 6.72ksteps +94.49m 714kcal 155 bpm 41min 14sec km6.81,Run,155,714,6.81,km,2474000,94.49,363.29,,,9.91,6720,
walk 1.09k steps 16m13s,Walk,,,,,973000,,,,,,1090,
walk 101hr 77.7min 748kcal,Walk,101,748,,,4662000,,,,,,,
walk 100 bpm steps5.55k 617kcal up54.86m 1h 8min 16sec,Walk,100,617,,,4096000,54.86,,,,,5550,
walk 93hr 9.14m gain 2.04ksteps 25min 36sec 213kcal,Walk,93,213,,,1536000,9.14,,,,,2040,
walk 111kcal 83hr 16m13s,Walk,83,111,,,973000,,,,,,,
sport 1h30m27s 1046kcal,Sport,,1046,,,5427000,,,,,,,
walk kcal316 35m51s steps2915,Walk,,316,,,2151000,,,,,,2915,
sport 25min 36sec 523steps b88,Sport,88,,,,1536000,,,,,,523,
sport step703 hr91 sec1024 kcal104,Sport,91,104,,,1024000,,,,,,703,
walk 15.4min elev24.38m step1308 kcal150 bpm103,Walk,103,150,,,924000,24.38,,,,,1308,
walk kcal195 1280s,Walk,,195,,,1280000,,,,,,,
treadmill k4.44 34min 20sec 158hr kcal537,Treadmill,158,537,4.44,km,2060000,,463.96,,,7.76,,
walk 50min 20sec b101,Walk,101,,,,3020000,,,,,,,
treadmill 39m38s 4.9k steps,Treadmill,,,,,2378000,,,,,,4900,
walk 969 steps 16m13s,Walk,,,,,973000,,,,,,969,
sport 6824steps 83min hr121 kcal1011,Sport,121,1011,,,4980000,,,,,,6824,
walk 97b 18min 46sec gain12.19m steps1.42k 160kcal,Walk,97,160,,,1126000,12.19,,,,,1420,
walk 156kcal 15.4min,Walk,,156,,,924000,,,,,,,
walk 24min 44sec gain27.43m,Walk,,,,,1484000,27.43,,,,,,
run 152hr 4963 steps 35min 44sec 5310m,Run,152,,5.31,km,2144000,,403.77,,,8.92,4963,
walk steps1777 kcal194 min18 bpm113,Walk,113,194,,,1080000,,,,,,1777,
walk 216kcal 100bpm 23min 54sec,Walk,100,216,,,1434000,,,,,,,
treadmill 35.1 k4.3,Treadmill,,,4.3,km,2106000,,489.77,,,7.35,,
walk bpm102 16m13s 18.29m gain kcal151 steps1.39k,Walk,102,151,,,973000,18.29,,,,,1390,
walk 16 min steps1.24k,Walk,,,,,960000,,,,,,1240,
walk 26min 56sec +39.62m kcal242 2217 steps,Walk,,242,,,1616000,39.62,,,,,2217,
walk b103 186kcal 19m38s elev33.53m,Walk,103,186,,,1178000,33.53,,,,,,
walk 40.1 3105steps bpm95 kcal341,Walk,95,341,,,2406000,,,,,,3105,
walk 164kcal 90 bpm 20min 24.38m gain,Walk,90,164,,,1200000,24.38,,,,,,
run 274kcal 2.37km,Run,,274,2.37,km,,,,,,,,
walk kcal165 25m35s,Walk,,165,,,1535000,,,,,,,
run 29 min 159hr,Run,159,,,,1740000,,,,,,,
walk 22m11s 1502 steps,Walk,,,,,1331000,,,,,,1502,
sport 1197kcal b133 5171sec,Sport,133,1197,,,5171000,,,,,,,
walk steps1.47k 22min 11sec,Walk,,,,,1331000,,,,,,1470,
walk step1394 bpm92 kcal180 24.8min,Walk,92,180,,,1488000,,,,,,1394,
walk b94 193kcal step1668 22m11s,Walk,94,193,,,1331000,,,,,,1668,
walk 107kcal 16.2min step997 avg83,Walk,83,107,,,972000,,,,,,997,
sport kcal952 1h11m37s,Sport,,952,,,4297000,,,,,,,
run elev153.31m 2.65mi 31.7min,Run,,,4.26,km,1902000,153.31,445.98,,,8.07,,
walk 2.15k steps kcal249 95bpm 30min 43sec,Walk,95,249,,,1843000,,,,,,2150,
walk bpm98 min17,Walk,98,,,,1020000,,,,,,,
walk min38 401kcal 3.84ksteps avg108,Walk,108,401,,,2280000,,,,,,3840,
walk 211kcal up27.43m 1536s,Walk,,211,,,1536000,27.43,,,,,,
walk kcal102 15.4min 81bpm elev6.1m step932,Walk,81,102,,,924000,6.1,,,,,932,
treadmill 577kcal 41min 10sec m4610,Treadmill,,577,4.61,km,2470000,,535.79,,,6.72,,
walk 158kcal 101bpm 17.9min 1336 steps,Walk,101,158,,,1074000,,,,,,1336,
walk hr107 1433s,Walk,107,,,,1433000,,,,,,,
run 145bpm up76.81m 3.99 km 416kcal 3.82ksteps 29m18s,Run,145,416,3.99,km,1758000,76.81,440.6,,,8.17,3820,
walk 19.5 kcal152 1.36k steps 92 bpm,Walk,92,152,,,1170000,,,,,,1360,
walk 87bpm min18,Walk,87,,,,1080000,,,,,,,
walk kcal447 bpm105 44m23s 3.97k steps,Walk,105,447,,,2663000,,,,,,3970,
walk 96 bpm kcal128 16min 915steps,Walk,96,128,,,960000,,,,,,915,
walk kcal169 17.9min,Walk,,169,,,1074000,,,,,,,
walk 216kcal 97bpm 23m54s,Walk,97,216,,,1434000,,,,,,,
walk 15.7 1.08ksteps 118kcal,Walk,,118,,,942000,,,,,,1080,
walk kcal150 83b min23 up9.14m steps1.25k,Walk,83,150,,,1380000,9.14,,,,,1250,
walk bpm98 971kcal 110 min 8315 steps,Walk,98,971,,,6600000,,,,,,8315,
walk 19min 38sec kcal148 +3.05m 1.36k steps 87 bpm,Walk,87,148,,,1178000,3.05,,,,,1360,
walk 3.74k steps 37m33s,Walk,,,,,2253000,,,,,,3740,
walk kcal395 101 bpm 3.42ksteps 43m31s,Walk,101,395,,,2611000,,,,,,3420,
walk min17 139kcal 3.05m gain 92 bpm,Walk,92,139,,,1020000,3.05,,,,,,
walk 168kcal 1076sec 1203steps 102 bpm,Walk,102,168,,,1076000,,,,,,1203,
walk 48.6min 99bpm elev42.67m kcal452,Walk,99,452,,,2916000,42.67,,,,,,
walk 1h33m1s 846kcal 7.6k steps 100bpm,Walk,100,846,,,5581000,,,,,,7600,
walk hr96 step1279 17min 56sec kcal151,Walk,96,151,,,1076000,,,,,,1279,
walk +85.34m avg108 46m4s 459kcal,Walk,108,459,,,2764000,85.34,,,,,,
walk 15min 22sec kcal105,Walk,,105,,,922000,,,,,,,
run 71.9min 9.36km elev128.02m b136,Run,136,,9.36,km,4314000,128.02,460.9,,,7.81,,
walk hr97 21m20s,Walk,97,,,,1280000,,,,,,,
sport kcal258 30min bpm95,Sport,95,258,,,1800000,,,,,,,
walk 88 bpm kcal197 sec1433 1861steps,Walk,88,197,,,1433000,,,,,,1861,
walk kcal150 15m21s,Walk,,150,,,921000,,,,,,,
run kcal842 up201.17m hr131 steps8.8k sec3789,Run,131,842,,,3789000,201.17,,,,,8800,
walk 22min kcal197 steps1867,Walk,,197,,,1320000,,,,,,1867,
walk 1h42m24s kcal1128 steps10.96k,Walk,,1128,,,6144000,,,,,,10960,
walk +88.39m hr96 sec2612 kcal374,Walk,96,374,,,2612000,88.39,,,,,,
walk +21.34m 33.3 hr100 step3345 300kcal,Walk,100,300,,,1998000,21.34,,,,,3345,
walk 1.51k steps avg95 min15 kcal130 up24.38m,Walk,95,130,,,900000,24.38,,,,,1510,
walk steps2473 90hr 26min 27sec kcal215 gain45.72m,Walk,90,215,,,1587000,45.72,,,,,2473,
run 1h 21min 1sec 11880steps 10.43 km,Run,,,10.43,km,4861000,,466.06,,,7.72,11880,
walk +27.43m bpm95 step1572 kcal142 973s,Walk,95,142,,,973000,27.43,,,,,1572,
walk steps3942 40.1 kcal355,Walk,,355,,,2406000,,,,,,3942,
walk 56min 19sec steps5.23k kcal525 hr102 gain97.54m,Walk,102,525,,,3379000,97.54,,,,,5230,
run 7.07 km gain194.46m 864kcal 1h0m10s 8.06ksteps avg147,Run,147,864,7.07,km,3610000,194.46,510.61,,,7.05,8060,
walk 102bpm 18m46s steps1.49k kcal160,Walk,102,160,,,1126000,,,,,,1490,
aerobic workout 1724 steps 973s bpm114 179kcal,Aerobic Workout,114,179,,,973000,,,,,,1724,
walk 15.4min 95bpm kcal151 steps1491,Walk,95,151,,,924000,,,,,,1491,
walk 3876steps 107 bpm,Walk,107,,,,,,,,,,3876,
walk min16 kcal131 up27.43m,Walk,,131,,,960000,27.43,,,,,,
walk sec2458 367kcal bpm98 step3708,Walk,98,367,,,2458000,,,,,,3708,
run 4271sec 8810 m,Run,,,8.81,km,4271000,,484.79,,,7.43,,
walk kcal131 step1563 16.2min 71 bpm,Walk,71,131,,,972000,,,,,,1563,
walk 1h5m43s step5771,Walk,,,,,3943000,,,,,,5771,
run 5.16k kcal591 37m38s 153hr,Run,153,591,5.16,km,2258000,,437.6,,,8.23,,
walk 174.1 +228.6m b95 kcal1404 steps14958,Walk,95,1404,,,10446000,228.6,,,,,14958,
walk 91.3 167.64m gain steps8.92k 104b 888kcal,Walk,104,888,,,5478000,167.64,,,,,8920,
walk b109 up30.48m sec1024,Walk,109,,,,1024000,30.48,,,,,,
walk 56.3 b97 steps5399 kcal483,Walk,97,483,,,3378000,,,,,,5399,
walk 92 bpm kcal140 1.62k steps 17.9,Walk,92,140,,,1074000,,,,,,1620,
walk kcal392 51 min,Walk,,392,,,3060000,,,,,,,
run 10150m 1h 27min 35sec 1062kcal,Run,,1062,10.15,km,5255000,,517.73,,,6.95,,
walk 1945sec 87hr kcal246,Walk,87,246,,,1945000,,,,,,,
walk 469kcal sec3226,Walk,,469,,,3226000,,,,,,,
walk 135kcal sec922 hr99,Walk,99,135,,,922000,,,,,,,
walk 1h 4min 51sec 6.38k steps kcal583 96hr,Walk,96,583,,,3891000,,,,,,6380,
run 38.7min 5.01k 553kcal,Run,,553,5.01,km,2322000,,463.47,,,7.77,,
walk steps1.57k 15m22s kcal141,Walk,,141,,,922000,,,,,,1570,
walk 760kcal 9.14k steps up137.16m 1h32m10s b89,Walk,89,760,,,5530000,137.16,,,,,9140,
walk 116kcal hr87 17min 4sec step1699,Walk,87,116,,,1024000,,,,,,1699,
walk 1024s 96 bpm kcal157 1423 steps +67.06m,Walk,96,157,,,1024000,67.06,,,,,1423,
sport 799kcal bpm101 90.5min,Sport,101,799,,,5430000,,,,,,,
walk gain79.25m hr92 73.4min kcal584,Walk,92,584,,,4404000,79.25,,,,,,
walk 1580 steps 17.1 96bpm kcal144 elev30.48m,Walk,96,144,,,1026000,30.48,,,,,1580,
walk 16min 13sec step1658,Walk,,,,,973000,,,,,,1658,
sport kcal191 108bpm 19.6 steps1.77k,Sport,108,191,,,1176000,,,,,,1770,
walk 4365 steps gain6.1m 427kcal sec2868 b98,Walk,98,427,,,2868000,6.1,,,,,4365,
walk +143.26m 97bpm 1h 23min 38sec kcal758,Walk,97,758,,,5018000,143.26,,,,,,
walk kcal144 97b steps1.6k 15 min,Walk,97,144,,,900000,,,,,,1600,
walk 31m34s kcal321 3.18k steps avg106 33.53m gain,Walk,106,321,,,1894000,33.53,,,,,3180,
walk 429kcal 52min 3sec,Walk,,429,,,3123000,,,,,,,
walk steps1616 100hr 17.1min 33.53m gain kcal153,Walk,100,153,,,1026000,33.53,,,,,1616,
run b126 67.4min kcal896,Run,126,896,,,4044000,,,,,,,
walk 171kcal min17,Walk,,171,,,1020000,,,,,,,
walk 106hr 52min 55sec,Walk,106,,,,3175000,,,,,,,
walk 23min 54sec elev28.7m,Walk,,,,,1434000,28.7,,,,,,
aerobic workout 117hr sec1178,Aerobic Workout,117,,,,1178000,,,,,,,
sport 1h9m59s 6472 steps 744kcal,Sport,,744,,,4199000,,,,,,6472,
aerobic workout 23min 2sec 218kcal hr105,Aerobic Workout,105,218,,,1382000,,,,,,,
walk kcal116 1639sec,Walk,,116,,,1639000,,,,,,,
walk 17min 4sec kcal99,Walk,,99,,,1024000,,,,,,,
walk b98 up48.77m sec3892,Walk,98,,,,3892000,48.77,,,,,,
run kcal178 sec1075 114b +9.14m,Run,114,178,,,1075000,9.14,,,,,,
run 35 130 bpm up42.67m 5.1k steps kcal468,Run,130,468,,,2100000,42.67,,,,,5100,
walk 96 bpm elev160.12m 87min step8893 774kcal,Walk,96,774,,,5220000,160.12,,,,,8893,
walk 100hr 17m4s 1.66k steps up24.38m 161kcal,Walk,100,161,,,1024000,24.38,,,,,1660,
walk step2674 bpm101 258kcal,Walk,101,258,,,,,,,,,2674,
run 15m22s 94hr 1766steps 137kcal,Run,94,137,,,922000,,,,,,1766,
walk bpm111 min22 238kcal 2306 steps,Walk,111,238,,,1320000,,,,,,2306,
walk steps4748 min50 88 bpm,Walk,88,,,,3000000,,,,,,4748,
walk 1126sec 93 bpm 161kcal,Walk,93,161,,,1126000,,,,,,,
run 1035kcal sec4865 bpm131 5.77mi,Run,131,1035,9.29,km,4865000,,523.91,,,6.87,,
walk 7.29k steps 4557s 96hr 667kcal,Walk,96,667,,,4557000,,,,,,7290,
walk bpm98 4813sec 722kcal steps8140,Walk,98,722,,,4813000,,,,,,8140,
treadmill km5.79 up37.8m 1000kcal bpm114 steps7.93k 6048s,Treadmill,114,1000,5.79,km,6048000,37.8,1044.56,,,3.45,7930,
walk min21 181kcal avg97,Walk,97,181,,,1260000,,,,,,,
walk 111 min 10.39k steps 149.35m gain,Walk,,,,,6660000,149.35,,,,,10390,
walk kcal130 sec973 85hr up27.43m,Walk,85,130,,,973000,27.43,,,,,,
walk 20.5 kcal192 step2102 up36.58m,Walk,,192,,,1230000,36.58,,,,,2102,
walk hr95 up94.49m 6.22k steps kcal597 70.8min,Walk,95,597,,,4248000,94.49,,,,,6220,
treadmill 6.51km min83,Treadmill,,,6.51,km,4980000,,764.98,,,4.71,,
walk steps5819 1h 1min 27sec 576kcal,Walk,,576,,,3687000,,,,,,5819,
walk 1.98k steps min20 103bpm,Walk,103,,,,1200000,,,,,,1980,
walk 27.43m gain 152kcal min17,Walk,,152,,,1020000,27.43,,,,,,
walk 450kcal 57.2min,Walk,,450,,,3432000,,,,,,,
walk 1686steps 18min 107b kcal169,Walk,107,169,,,1080000,,,,,,1686,
walk 1.52ksteps 152kcal 94b 17min 56sec,Walk,94,152,,,1076000,,,,,,1520,
walk 169kcal 17min 4sec avg95 step1597,Walk,95,169,,,1024000,,,,,,1597,
run 1h 17min 15sec 1142kcal k9.56,Run,,1142,9.56,km,4635000,,484.83,,,7.43,,
walk 78kcal 735steps 16.2min 79bpm,Walk,79,78,,,972000,,,,,,735,
run kcal652 44min 1sec 141bpm 5.91k,Run,141,652,5.91,km,2641000,,446.87,,,8.06,,
walk 1h56m4s up152.4m step9693 996kcal b95,Walk,95,996,,,6964000,152.4,,,,,9693,
walk kcal1083 11.39ksteps 1h 52min 39sec elev173.74m,Walk,,1083,,,6759000,173.74,,,,,11390,
walk 70 min 626kcal,Walk,,626,,,4200000,,,,,,,
run 6013 steps sec4277 5.45km +27.13m 628kcal bpm135,Run,135,628,5.45,km,4277000,27.13,784.77,,,4.59,6013,
walk steps4234 hr100 gain85.34m kcal421 45min 14sec,Walk,100,421,,,2714000,85.34,,,,,4234,
walk avg97 steps5.44k 509kcal 55.5,Walk,97,509,,,3330000,,,,,,5440,
walk +143.26m 8633 steps sec5070,Walk,,,,,5070000,143.26,,,,,8633,
walk 635kcal b99 steps7.03k 1h 8min 17sec,Walk,99,635,,,4097000,,,,,,7030,
sport kcal399 sec2611,Sport,,399,,,2611000,,,,,,,
walk hr102 589kcal sec3687,Walk,102,589,,,3687000,,,,,,,
walk up61.87m kcal402 102bpm 45m14s,Walk,102,402,,,2714000,61.87,,,,,,
aerobic workout 104 bpm 2918sec 467kcal steps4006,Aerobic Workout,104,467,,,2918000,,,,,,4006,
walk hr112 5530s kcal943,Walk,112,943,,,5530000,,,,,,,
walk 133kcal 1.62k steps 67hr,Walk,67,133,,,,,,,,,1620,
walk elev27.43m 1.57k steps bpm114 16.2min kcal184,Walk,114,184,,,972000,27.43,,,,,1570,
walk 25min 225kcal b102 2254steps,Walk,102,225,,,1500000,,,,,,2254,
walk 560kcal 5.11ksteps 49m30s,Walk,,560,,,2970000,,,,,,5110,
walk 349kcal 30.7min 156 bpm,Walk,156,349,,,1842000,,,,,,,
walk 74b 22m11s,Walk,74,,,,1331000,,,,,,,
walk 87.9min 9358 steps,Walk,,,,,5274000,,,,,,9358,
walk 6.39k steps hr89 1h9m7s,Walk,89,,,,4147000,,,,,,6390,
walk steps1544 102b 15.3,Walk,102,,,,918000,,,,,,1544,
run 9120m 139b 245.97m gain 1h 14min 10sec,Run,139,,9.12,km,4450000,245.97,487.94,,,7.38,,
walk 4799 steps min53,Walk,,,,,3180000,,,,,,4799,
walk avg103 4571sec 715kcal,Walk,103,715,,,4571000,,,,,,,
walk steps1.61k 16min 100bpm,Walk,100,,,,960000,,,,,,1610,
bike up0.61m kcal296 min25 hr127,Bike,127,296,,,1500000,0.61,,,,,,
run 71 min 4.3 mi kcal761,Run,,761,6.92,km,4260000,,615.59,,,5.85,,
walk 5109steps 55.5,Walk,,,,,3330000,,,,,,5109,
walk kcal345 step3402 elev15.24m 34min 8sec,Walk,,345,,,2048000,15.24,,,,,3402,
walk 6061 steps 3277s,Walk,,,,,3277000,,,,,,6061,
walk elev155.45m 826kcal 5377s,Walk,,826,,,5377000,155.45,,,,,,
walk 99bpm 138kcal steps1508 15.3min,Walk,99,138,,,918000,,,,,,1508,
walk 484kcal 4.92k steps 57.2min,Walk,,484,,,3432000,,,,,,4920,
walk 95 bpm 379kcal 2662sec,Walk,95,379,,,2662000,,,,,,,
