"activityName","averageHeartRate","calories","distance","distanceUnit","duration","elevationGain","pace","poolLength","poolLengthUnit","speed","steps","swimLengths"
"Walk",102,159,,,1075000,3.05,,,,,1377,
"Walk",102,154,,,1024000,9.14,,,,,1384,
"Walk",106,494,,,3072000,45.72,,,,,3813,
"Walk",105,840,,,5018000,91.44,,,,,7441,
"Walk",95,140,,,1024000,12.19,,,,,1219,
"Walk",87,155,,,1178000,27.43,,,,,1457,
"Run",163,454,3.86,"Kilometer",1586000,31.09,381.83,,,9.43,3913,
"Walk",92,235,,,1741000,33.53,,,,,2107,
"Walk",92,265,,,1843000,67.06,,,,,2597,
"Walk",100,195,,,1229000,27.43,,,,,1828,
"Walk",92,151,,,1024000,27.43,,,,,1511,
"Walk",90,198,,,1433000,54.86,,,,,1890,
"Walk",96,222,,,1434000,39.62,,,,,2395,
"Treadmill",145,436,3.89,"Kilometer",1896000,89.31,,,,8.69,3996,
"Walk",99,405,,,2560000,45.72,,,,,4062,
"Walk",91,184,,,1484000,6.1,,,,,1693,
"Run",147,815,7.14,"Kilometer",3043000,53.65,407.67,,,8.83,7469,
"Walk",105,171,,,922000,24.38,,,,,1386,
"Run",52,2,0,"Kilometer",13000,0,,,,0,0,
"Walk",100,296,,,1894000,37.03,,,,,2649,
"Walk",97,252,,,1639000,24.38,,,,,2535,
"Treadmill",147,491,4,"Kilometer",2053000,175.87,,,,7.97,4206,
"Walk",105,531,,,3226000,64.01,,,,,4527,
"Walk",106,264,,,1587000,18.29,,,,,2437,
"Walk",106,266,,,1536000,45.72,,,,,2487,
"Sport",113,586,,,3379000,,,,,,3472,
"Walk",98,550,,,3534000,42.67,,,,,5538,
"Walk",93,137,,,1024000,15.24,,,,,1290,
"Walk",94,162,,,1127000,33.53,,,,,1691,
"Walk",105,172,,,972000,48.67,,,,,1681,
"Walk",101,140,,,922000,21.34,,,,,1251,
"Walk",92,248,,,1792000,30.48,,,,,2404,
"Walk",89,197,,,1690000,36.58,,,,,1757,
"Treadmill",148,562,5.36,"Kilometer",2017000,54.86,,,,9.51,5337,
"Walk",86,178,,,1485000,12.19,,,,,1588,
"Walk",98,556,,,3788000,57.91,,,,,4902,
"Walk",93,151,,,1075000,21.34,,,,,1382,
"Sport",136,289,,,1229000,,,,,,1629,
"Walk",101,145,,,921000,15.24,,,,,1182,
"Walk",100,234,,,1536000,27.43,,,,,2012,
"Walk",88,121,,,973000,18.29,,,,,1082,
"Run",139,752,7.07,"Kilometer",3167000,132.59,413.73,,,8.7,7150,
"Walk",85,555,,,4608000,21.34,,,,,5689,
"Walk",96,141,,,922000,6.1,,,,,1251,
"Walk",101,268,,,1689000,39.62,,,,,2266,
"Walk",85,131,,,1024000,9.14,,,,,1314,
"Sport",115,782,,,4301000,,,,,,4851,
"Walk",87,212,,,1741000,27.43,,,,,2015,
"Run",155,714,6.81,"Kilometer",2474000,94.49,364.62,,,9.87,6723,
"Walk",91,127,,,973000,3.05,,,,,1090,
"Walk",101,748,,,4659000,36.58,,,,,7356,
"Walk",100,617,,,4096000,54.86,,,,,5550,
"Walk",93,213,,,1536000,9.14,,,,,2036,
"Walk",83,111,,,973000,9.14,,,,,1040,
"Sport",117,1046,,,5427000,,,,,,6660,
"Walk",96,316,,,2151000,73.15,,,,,2915,
"Sport",88,123,,,1536000,,,,,,523,
"Sport",91,104,,,1024000,,,,,,703,
"Walk",103,150,,,922000,24.38,,,,,1308,
"Walk",100,195,,,1280000,24.38,,,,,1654,
"Treadmill",158,537,4.44,"Kilometer",2060000,81.38,,,,8.86,4524,
"Walk",101,466,,,3020000,36.58,,,,,4264,
"Treadmill",134,516,4.5,"Kilometer",2378000,92.96,,,,7.59,4895,
"Walk",96,124,,,973000,3.05,,,,,969,
"Sport",121,1011,,,4966000,,,,,,6824,
"Walk",97,160,,,1126000,12.19,,,,,1417,
"Walk",104,156,,,922000,0,,,,,1441,
"Walk",90,189,,,1484000,27.43,,,,,1883,
"Run",152,567,5.31,"Kilometer",2144000,45.42,380.8,,,9.45,4963,
"Walk",113,194,,,1075000,0,,,,,1777,
"Walk",100,216,,,1434000,0,,,,,2040,
"Treadmill",123,456,4.3,"Kilometer",2107000,39.93,,,,7.36,4360,
"Walk",102,151,,,973000,18.29,,,,,1390,
"Walk",99,140,,,973000,0,,,,,1236,
"Walk",101,242,,,1616000,39.62,,,,,2217,
"Walk",103,186,,,1178000,33.53,,,,,1703,
"Walk",95,341,,,2406000,24.38,,,,,3105,
"Walk",90,164,,,1229000,24.38,,,,,1670,
"Run",134,274,2.37,"Kilometer",1240000,62.79,468.9,,,7.68,2476,
"Run",133,283,2.39,"Kilometer",2102000,9.45,499.9,,,7.2,2519,
"Walk",84,165,,,1535000,0,,,,,1432,
"Run",159,486,3.71,"Kilometer",1717000,70.71,436.59,,,8.25,4056,
"Walk",100,190,,,1331000,24.38,,,,,1502,
"Sport",133,1197,,,5171000,,,,,,8223,
"Walk",104,194,,,1331000,27.43,,,,,1470,
"Walk",92,180,,,1485000,0,,,,,1394,
"Walk",94,193,,,1331000,9.14,,,,,1668,
"Walk",83,107,,,973000,0,,,,,997,
"Sport",129,952,,,4297000,,,,,,6392,
"Run",150,493,4.27,"Kilometer",1901000,153.31,409.63,,,8.79,4671,
"Walk",95,249,,,1843000,0,,,,,2146,
"Walk",98,144,,,1024000,0,,,,,1215,
"Walk",108,401,,,2253000,0,,,,,3841,
"Walk",95,211,,,1536000,27.43,,,,,1678,
"Walk",81,102,,,922000,6.1,,,,,932,
"Treadmill",140,577,4.61,"Kilometer",2470000,82.3,,,,7.38,5015,
"Walk",101,158,,,1075000,0,,,,,1336,
"Walk",107,232,,,1433000,0,,,,,1748,
"Run",145,416,3.99,"Kilometer",1758000,76.81,377.12,,,9.55,3815,
"Walk",92,152,,,1170000,0,,,,,1361,
"Walk",87,134,,,1075000,0,,,,,1255,
"Walk",105,447,,,2663000,0,,,,,3965,
"Walk",96,128,,,973000,0,,,,,915,
"Walk",100,169,,,1075000,45.72,,,,,1498,
"Walk",97,216,,,1434000,0,,,,,1788,
"Walk",87,118,,,941000,0,,,,,1077,
"Walk",83,150,,,1382000,9.14,,,,,1249,
"Walk",98,971,,,6577000,15.24,,,,,8315,
"Walk",87,148,,,1178000,3.05,,,,,1362,
"Walk",100,369,,,2253000,60.96,,,,,3744,
"Walk",101,395,,,2611000,18.29,,,,,3415,
"Walk",92,139,,,1024000,3.05,,,,,1259,
"Walk",102,168,,,1076000,3.05,,,,,1203,
"Walk",99,452,,,2918000,42.67,,,,,3909,
"Walk",100,846,,,5581000,106.68,,,,,7599,
"Walk",96,151,,,1076000,0,,,,,1279,
"Walk",108,459,,,2764000,85.34,,,,,3846,
"Walk",108,105,,,922000,21.34,,,,,1139,
"Run",136,544,9.36,"Kilometer",4315000,128.02,439.64,,,8.19,10034,
"Walk",97,186,,,1280000,30.48,,,,,1939,
"Sport",95,258,,,1792000,,,,,,2741,
"Walk",88,197,,,1433000,60.96,,,,,1861,
"Walk",104,150,,,921000,33.53,,,,,1561,
"Run",131,842,,,3789000,201.17,,,,,8804,
"Walk",93,197,,,1331000,40.64,,,,,1867,
"Walk",114,1128,,,6144000,82.3,,,,,10958,
"Walk",96,374,,,2612000,88.39,,,,,3893,
"Walk",100,300,,,1997000,21.34,,,,,3345,
"Walk",95,130,,,922000,24.38,,,,,1505,
"Walk",90,215,,,1587000,45.72,,,,,2473,
"Run",142,1211,10.43,"Kilometer",4861000,186.54,460.45,,,7.82,11880,
"Walk",95,142,,,973000,27.43,,,,,1572,
"Walk",96,355,,,2406000,85.34,,,,,3942,
"Walk",102,525,,,3379000,97.54,,,,,5229,
"Run",147,864,7.07,"Kilometer",3610000,194.46,473.28,,,7.61,8064,
"Walk",102,160,,,1126000,0,,,,,1490,
"Aerobic Workout",114,179,,,973000,,,,,,1724,
"Walk",95,151,,,922000,24.38,,,,,1491,
"Walk",107,387,,,2509000,60.96,,,,,3876,
"Walk",95,131,,,973000,27.43,,,,,1481,
"Walk",98,367,,,2458000,51.82,,,,,3708,
"Run",147,1062,8.81,"Kilometer",4271000,189.28,468.07,,,7.69,10211,
"Walk",71,131,,,973000,39.62,,,,,1563,
"Walk",121,552,,,3943000,124.97,,,,,5771,
"Run",153,591,5.16,"Kilometer",2258000,82.6,436.27,,,8.25,5635,
"Walk",95,1404,,,10446000,228.6,,,,,14958,
"Walk",104,888,,,5479000,167.64,,,,,8917,
"Walk",109,168,,,1024000,30.48,,,,,1677,
"Walk",97,483,,,3379000,70.1,,,,,5399,
"Walk",92,140,,,1075000,27.43,,,,,1623,
"Walk",88,392,,,3073000,91.44,,,,,4686,
"Run",130,1062,10.15,"Kilometer",5255000,289.56,470.03,,,7.66,11350,
"Walk",87,246,,,1945000,15.24,,,,,3340,
"Walk",93,469,,,3226000,82.3,,,,,5526,
"Walk",99,135,,,922000,27.43,,,,,1453,
"Walk",96,583,,,3891000,124.97,,,,,6378,
"Run",140,553,5.01,"Kilometer",2324000,154.84,460.61,,,7.82,5548,
"Walk",93,141,,,922000,33.53,,,,,1569,
"Walk",89,760,,,5530000,137.16,,,,,9142,
"Walk",87,116,,,1024000,0,,,,,1699,
"Walk",96,157,,,1024000,67.06,,,,,1423,
"Sport",101,799,,,5429000,,,,,,7905,
"Walk",92,584,,,4403000,79.25,,,,,6662,
"Walk",96,144,,,1024000,30.48,,,,,1580,
"Walk",104,164,,,973000,33.53,,,,,1658,
"Sport",108,191,,,1177000,,,,,,1768,
"Walk",98,427,,,2868000,6.1,,,,,4365,
"Walk",97,758,,,5018000,143.26,,,,,8605,
"Walk",97,144,,,921000,33.53,,,,,1597,
"Walk",106,321,,,1894000,33.53,,,,,3184,
"Walk",91,429,,,3123000,112.78,,,,,4436,
"Walk",100,153,,,1024000,33.53,,,,,1616,
"Run",126,896,,,4046000,173.74,,,,,9509,
"Walk",109,171,,,1024000,27.43,,,,,1620,
"Walk",106,568,,,3175000,109.73,,,,,5735,
"Walk",108,242,,,1434000,28.7,,,,,2524,
"Aerobic Workout",117,237,,,1178000,,,,,,1995,
"Sport",109,744,,,4199000,,,,,,6472,
"Aerobic Workout",105,218,,,1382000,,,,,,1747,
"Walk",69,116,,,1639000,6.1,,,,,1305,
"Walk",85,99,,,1024000,3.05,,,,,958,
"Walk",98,556,,,3892000,48.77,,,,,5682,
"Run",121,1088,6.52,"Kilometer",6096000,418.19,836.58,,,4.3,8859,
"Run",114,178,,,1075000,9.14,,,,,1639,
"Run",130,468,,,2099000,42.67,,,,,5095,
"Walk",96,774,,,5223000,160.12,,,,,8893,
"Walk",100,161,,,1024000,24.38,,,,,1663,
"Walk",101,258,,,1536000,60.96,,,,,2674,
"Run",94,137,,,922000,0,,,,,1766,
"Walk",111,238,,,1331000,36.58,,,,,2306,
"Walk",88,400,,,3022000,91.44,,,,,4748,
"Walk",93,161,,,1126000,30.48,,,,,1763,
"Run",131,1035,9.28,"Kilometer",4865000,187.45,486.87,,,7.39,10783,
"Walk",96,667,,,4557000,124.97,,,,,7287,
"Walk",98,722,,,4813000,82.3,,,,,8140,
"Treadmill",114,1000,5.79,"Kilometer",6048000,37.8,,,,3.45,7931,
"Walk",97,181,,,1281000,33.53,,,,,1718,
"Walk",98,961,,,6657000,149.35,,,,,10387,
"Walk",85,130,,,973000,27.43,,,,,1544,
"Walk",105,192,,,1229000,36.58,,,,,2102,
"Walk",95,597,,,4250000,94.49,,,,,6223,
"Treadmill",133,1111,6.51,"Kilometer",4991000,45.72,,,,4.7,9149,
"Walk",101,576,,,3687000,115.82,,,,,5819,
"Walk",103,194,,,1178000,9.14,,,,,1981,
"Walk",102,152,,,1024000,27.43,,,,,1593,
"Walk",91,450,,,3430000,106.68,,,,,5093,
"Walk",107,169,,,1075000,30.48,,,,,1686,
"Walk",94,152,,,1076000,6.1,,,,,1520,
"Walk",95,169,,,1024000,70.1,,,,,1597,
"Run",,1199,11.51,"Kilometer",28486000,,419.92,,,8.57,11273,
"Run",145,1142,9.56,"Kilometer",4635000,700.13,472.19,,,7.62,11023,
"Walk",79,78,,,973000,0,,,,,735,
"Run",141,652,5.91,"Kilometer",2641000,128.02,442.2,,,8.14,6522,
"Walk",95,996,,,6964000,152.4,,,,,9693,
"Walk",101,1083,,,6759000,173.74,,,,,11386,
"Walk",100,626,,,4199000,82.3,,,,,6557,
"Run",135,628,5.45,"Kilometer",4277000,27.13,475.14,,,7.58,6013,
"Walk",100,421,,,2714000,85.34,,,,,4234,
"Walk",97,509,,,3329000,91.44,,,,,5436,
"Walk",101,829,,,5070000,143.26,,,,,8633,
"Walk",99,635,,,4097000,124.97,,,,,7028,
"Sport",104,399,,,2611000,,,,,,3868,
"Walk",102,589,,,3687000,73.15,,,,,6271,
"Walk",102,402,,,2714000,61.87,,,,,3463,
"Aerobic Workout",104,467,,,2918000,,,,,,4006,
"Walk",112,943,,,5530000,149.35,,,,,8688,
"Walk",67,133,,,1024000,27.43,,,,,1617,
"Walk",114,184,,,973000,27.43,,,,,1569,
"Walk",102,225,,,1485000,30.48,,,,,2254,
"Run",134,1011,7.67,"Kilometer",6324000,4.27,566.26,,,6.36,9104,
"Walk",120,560,,,2970000,73.15,,,,,5110,
"Walk",156,349,,,1843000,70.1,,,,,3245,
"Walk",74,161,,,1331000,36.58,,,,,1845,
"Walk",108,919,,,5274000,216.41,,,,,9358,
"Walk",89,565,,,4147000,106.68,,,,,6390,
"Walk",102,154,,,921000,30.48,,,,,1544,
"Run",139,1038,9.12,"Kilometer",4450000,245.97,468.02,,,7.69,10134,
"Walk",90,409,,,3175000,106.68,,,,,4799,
"Walk",103,715,,,4571000,140.21,,,,,7542,
"Walk",100,150,,,973000,30.48,,,,,1609,
"Bike",127,296,0,"Kilometer",1475000,0.61,,,,0,,
"Run",140,761,6.92,"Kilometer",4266000,35.36,453.95,,,7.93,7582,
"Walk",100,504,,,3328000,92.91,,,,,5109,
"Walk",104,345,,,2048000,15.24,,,,,3402,
"Walk",113,621,,,3277000,82.3,,,,,6061,
"Walk",97,826,,,5377000,155.45,,,,,9367,
"Walk",99,138,,,921000,27.43,,,,,1508,
"Walk",96,484,,,3431000,90.42,,,,,4920,
"Walk",95,379,,,2662000,64.01,,,,,4120,
"Walk",96,138,,,922000,30.48,,,,,1517,
"Walk",118,480,,,2458000,57.91,,,,,4511,
"Run",144,1142,9.6,"Kilometer",4665000,219.15,470.34,,,7.65,11077,
"Walk",95,371,,,2509000,100.58,,,,,4094,
"Walk",94,586,,,4044000,85.34,,,,,6893,
"Walk",107,966,,,5684000,161.54,,,,,10239,
"Walk",110,179,,,1024000,33.53,,,,,1636,
"Bike",125,372,0,"Kilometer",1889000,3.96,,,,0,,
"Run",130,513,4.2,"Kilometer",4305000,33.53,562.27,,,6.4,4977,
"Walk",103,210,,,1280000,30.48,,,,,1921,
"Sport",102,393,,,2508000,,,,,,3633,
"Walk",92,247,,,1945000,21.34,,,,,2781,
"Walk",101,144,,,921000,54.86,,,,,1304,
"Walk",96,134,,,921000,30.48,,,,,1584,
"Walk",109,165,,,1024000,30.48,,,,,1851,
"Sport",96,312,,,2202000,,,,,,3198,
"Walk",97,407,,,3072000,67.06,,,,,3906,
"Run",134,914,7.56,"Kilometer",4660000,74.07,527.31,,,6.83,9070,
"Walk",83,162,,,1485000,27.43,,,,,1649,
"Walk",86,241,,,2099000,54.86,,,,,2492,
"Walk",98,231,,,1587000,27.43,,,,,2409,
"Bike",128,859,0,"Kilometer",4183000,68.28,,,,0,,
"Walk",96,155,,,1178000,30.48,,,,,1614,
"Walk",88,125,,,1024000,24.38,,,,,1301,
"Walk",113,184,,,1024000,42.67,,,,,1736,
"Walk",99,170,,,1126000,24.38,,,,,1820,
"Sport",106,292,,,1792000,,,,,,2632,
"Walk",92,212,,,1536000,48.77,,,,,2412,
"Run",144,1238,11.26,"Kilometer",5195000,196.9,444.48,,,8.1,12357,
"Walk",78,153,,,1177000,30.48,,,,,1833,
"Walk",107,486,,,3174000,100.58,,,,,4915,
"Walk",96,443,,,3021000,100.58,,,,,4955,
"Walk",81,201,,,1690000,36.58,,,,,2011,
"Walk",103,1005,,,6298000,210.31,,,,,10973,
"Walk",109,183,,,973000,33.53,,,,,1516,
"Walk",107,569,,,3328000,104.55,,,,,5190,
"Walk",112,198,,,1127000,39.62,,,,,1875,
"Walk",115,774,,,4045000,161.54,,,,,6880,
"Sport",63,180,,,1332000,,,,,,1873,
"Sport",101,173,,,1229000,,,,,,1500,
"Sport",97,251,,,1741000,,,,,,2758,
"Aerobic Workout",78,115,,,1177000,,,,,,1647,
"Walk",100,551,,,3737000,103.63,,,,,5572,
"Sport",83,523,,,3788000,,,,,,5792,
"Walk",100,540,,,3533000,85.34,,,,,5183,
"Sport",97,776,,,5581000,,,,,,7509,
"Run",147,629,,,2611000,73.15,,,,,5488,
"Sport",106,502,,,3072000,,,,,,4888,
"Run",136,924,,,3891000,158.5,,,,,8875,
"Aerobic Workout",80,87,,,973000,,,,,,972,
"Walk",98,157,,,921000,27.43,,,,,1556,
"Walk",100,399,,,2662000,82.3,,,,,4211,
"Walk",96,163,,,1126000,36.58,,,,,1777,
"Walk",99,567,,,3942000,79.25,,,,,5412,
"Walk",98,278,,,2048000,39.62,,,,,2644,
"Walk",100,497,,,3328000,91.44,,,,,5222,
"Walk",98,279,,,1997000,15.24,,,,,3276,
"Walk",110,307,,,1792000,67.06,,,,,3082,
"Walk",94,252,,,1894000,51.82,,,,,2845,
"Run",109,210,,,1178000,30.48,,,,,2352,
"Walk",107,242,,,1331000,73.15,,,,,2557,
"Run",116,489,,,2611000,67.06,,,,,5392,
"Walk",96,170,,,1228000,30.48,,,,,1827,
"Walk",103,170,,,1075000,30.48,,,,,1751,
"Sport",94,154,,,1126000,,,,,,1565,
"Walk",95,534,,,3738000,85.34,,,,,6114,
"Run",141,239,,,1024000,20.68,,,,,2153,
"Run",93,105,0.9,"Kilometer",4642000,0,878.65,,,4.1,1295,
"Walk",98,162,,,1024000,67.06,,,,,1513,
"Walk",99,301,,,1894000,64.01,,,,,3119,
"Walk",92,333,,,2662000,24.38,,,,,3726,
"Walk",102,782,,,5069000,88.39,,,,,7811,
"Run",129,998,5.57,"Kilometer",5279000,302.67,883.18,,,4.08,8014,
"Walk",98,150,,,1075000,33.53,,,,,1658,
"Walk",93,559,,,4096000,85.34,,,,,6357,
"Walk",96,156,,,1024000,33.53,,,,,1652,
"Walk",101,487,,,3277000,88.39,,,,,5337,
"Walk",96,452,,,3123000,79.25,,,,,4947,
"Aerobic Workout",133,1320,,,6298000,,,,,,9961,
"Walk",103,845,,,5222000,164.59,,,,,8436,
"Walk",104,169,,,1024000,39.62,,,,,1698,
"Walk",114,536,,,2970000,57.91,,,,,5085,
"Walk",108,478,,,2765000,103.63,,,,,4870,
"Walk",90,430,,,3174000,106.68,,,,,5001,
"Walk",95,537,,,3686000,128.02,,,,,5808,
"Swim",,187,0.83,"Kilometer",1434000,,1738.18,25,"Meter",2.07,,33
"Sport",95,520,,,3943000,,,,,,5161,
"Walk",98,160,,,1280000,21.34,,,,,1448,
"Walk",112,565,,,3276000,134.11,,,,,6086,
"Run",122,613,,,3123000,115.82,,,,,6643,
"Sport",100,415,,,2969000,,,,,,4460,
"Walk",92,188,,,1536000,30.48,,,,,2055,
"Run",151,681,,,2662000,185.93,,,,,6334,
"Walk",115,297,,,1792000,76.2,,,,,2576,
"Run",147,1196,9.68,"Kilometer",5027000,299.62,480.86,,,7.49,11288,
"Walk",95,822,,,6092000,185.93,,,,,8152,
"Walk",93,177,,,1280000,12.19,,,,,2051,
"Walk",99,246,,,1638000,60.96,,,,,2349,
"Sport",102,760,,,5068000,,,,,,7509,
"Walk",104,1149,,,7015000,155.45,,,,,12343,
"Walk",81,98,,,921000,6.1,,,,,1038,
"Walk",88,494,,,3942000,79.25,,,,,5329,
"Run",136,1055,0,"Kilometer",4644000,3.66,,,,0,9620,
"Walk",100,586,,,3584000,121.92,,,,,5806,
"Cross Country Skiing",122,1360,8.68,"Kilometer",7181000,364.85,,,,4.66,11360,
"Walk",102,726,,,4659000,121.92,,,,,7301,
"Walk",99,156,,,973000,70.1,,,,,1612,
"Walk",96,859,,,5786000,161.54,,,,,9968,
"Sport",105,540,,,3482000,,,,,,4832,
"Walk",97,201,,,1536000,3.05,,,,,1924,
"Sport",102,216,,,1484000,,,,,,2001,
"Sport",104,336,,,2150000,,,,,,3188,
"Walk",102,241,,,1639000,0,,,,,2426,
"Sport",100,289,,,1945000,,,,,,2738,
"Sport",103,665,,,4249000,,,,,,6357,
"Sport",98,181,,,1433000,,,,,,1456,
"Sport",103,205,,,1433000,,,,,,1784,
"Walk",107,276,,,1690000,12.19,,,,,2959,
"Walk",97,569,,,3789000,93.88,,,,,6655,
"Run",120,807,,,3994000,176.02,,,,,9094,
"Walk",101,178,,,1126000,3.05,,,,,1723,
"Walk",73,198,,,1536000,9.14,,,,,2410,
"Walk",102,352,,,2202000,33.53,,,,,3314,
"Walk",108,905,,,5017000,149.35,,,,,8784,
"Walk",113,198,,,1075000,39.62,,,,,1830,
"Walk",101,373,,,2406000,76.2,,,,,3756,
"Outdoor Bike",96,187,,,1253000,3.05,,,,,,
"Walk",99,634,,,4198000,87.27,,,,,6488,
"Run",136,1333,8.36,"Kilometer",7806000,370.33,704.17,,,5.11,10570,
"Walk",99,421,,,2765000,12.19,,,,,4293,
"Walk",101,371,,,2765000,9.14,,,,,3338,
"Walk",89,256,,,1792000,70.1,,,,,2514,
"Sport",91,244,,,1997000,,,,,,2370,
"Walk",98,121,,,922000,27.43,,,,,1117,
"Walk",94,453,,,3430000,103.63,,,,,4584,
"Walk",97,219,,,1536000,0,,,,,2208,
"Walk",112,688,,,3891000,100.58,,,,,6454,
"Walk",95,588,,,4301000,51.82,,,,,5906,
"Walk",106,475,,,2918000,76.2,,,,,4654,
"Run",128,1375,11.09,"Kilometer",6825000,202.08,583.18,,,6.17,10810,
"Walk",97,318,,,2202000,0,,,,,2972,
"Walk",106,638,,,3737000,121.92,,,,,6341,
"Run",119,242,,,1332000,33.53,,,,,2344,
"Walk",116,249,,,1280000,60.96,,,,,2320,
"Walk",105,821,,,5120000,252.98,,,,,8817,
"Run",128,1671,9.55,"Kilometer",8433000,777.24,811.02,,,4.44,12612,
"Walk",100,567,,,3857000,128.02,,,,,6006,
"Run",139,707,,,2918000,137.16,,,,,7099,
"Aerobic Workout",134,374,,,1639000,,,,,,3348,
"Walk",108,343,,,1997000,84.33,,,,,3383,
"Run",119,218,,,1126000,51.82,,,,,2238,
"Walk",107,195,,,1229000,42.67,,,,,1934,
"Walk",95,229,,,1689000,42.67,,,,,2408,
"Walk",108,958,,,5940000,94.49,,,,,9911,
"Walk",102,165,,,1024000,71.73,,,,,1574,
"Sport",96,151,,,1127000,,,,,,1603,
"Walk",107,1127,,,6656000,97.54,,,,,11796,
"Outdoor Bike",96,498,,,3539000,0,,,,,,
"Sport",100,241,,,1638000,,,,,,2408,
"Outdoor Bike",93,122,,,922000,3.05,,,,,,
"Walk",107,311,,,2355000,30.48,,,,,3171,
"Walk",103,235,,,1946000,27.43,,,,,2535,
"Walk",118,144,,,922000,0,,,,,1429,
"Walk",106,306,,,2202000,27.43,,,,,3283,
"Walk",99,264,,,1997000,6.1,,,,,3105,
"Walk",91,111,,,1075000,0,,,,,1009,
"Walk",102,219,,,1843000,9.14,,,,,1732,
"Treadmill",126,164,1.55,"Kilometer",975000,2.44,,,,6.18,1468,
"Treadmill",167,524,4.02,"Kilometer",1949000,36.27,,,,7.43,4024,
"Walk",102,192,,,1434000,3.05,,,,,1862,
