input,transactionType,amount,currency,category,description,timeOffset,fromAccount,toAccount
printouts 0.14e,expense,0.14,EUR,education,Printouts,PT0M,,
printouts -0.51 dollar 21 hours ago,expense,0.51,USD,education,Printouts,-PT21H,,
spent 6.27 dollar biryani 🍚,expense,6.27,USD,food_drink,Biryani 🍚,PT0M,,
breakfast 0.67€ 12d ago,expense,0.67,EUR,food_drink,Breakfast,-P12D,,
family_member_a 22.22€ -21h,expense,22.22,EUR,peer_transfer,family_member_a,-PT21H,,
adjust balance +€0.79,income,0.79,EUR,balance_adjustment,Adjust balance,PT0M,,
spent 13.7 ден juice,expense,13.7,MKD,food_drink,Juice,PT0M,,
cab €2 -13d,expense,2,EUR,transport,Cab,-P13D,,
snacks -€0.33,expense,0.33,EUR,food_drink,Snacks,PT0M,,
chai -0.22 eur 21 hours ago,expense,0.22,EUR,food_drink,Chai,-PT21H,,
recharge -2.97 eur,expense,2.97,EUR,utilities,Recharge,PT0M,,
spent 0.28€ curd 25 days ago,expense,0.28,EUR,food_drink,Curd,-P25D,,
adjust balance -0.36 dollar 13 days ago,expense,0.36,USD,balance_adjustment,Adjust balance,-P13D,,
tea €0.11,expense,0.11,EUR,food_drink,Tea,PT0M,,
spent 6.85 MKD water,expense,6.85,MKD,food_drink,Water,PT0M,,
adjust balance 3.98e tmr,expense,3.98,EUR,balance_adjustment,Adjust balance,P1D,,
water 0.48 dollar -15h,expense,0.48,USD,food_drink,Water,-PT15H,,
spent 0.24 dollar bus 3 hours ago,expense,0.24,USD,transport,Bus,-PT3H,,
metro -€0.22 -4d,expense,0.22,EUR,transport,Metro,-P4D,,
haldiram 2.49 USD,expense,2.49,USD,food_drink,Haldiram,PT0M,,
tickets victoria -1.11 eur,expense,1.11,EUR,entertainment,Tickets victoria,PT0M,,
spent 1.06€ lunch,expense,1.06,EUR,food_drink,Lunch,PT0M,,
ferry -0.56 eur,expense,0.56,EUR,transport,Ferry,PT0M,,
family_member_a -5.56 eur 21h ago,expense,5.56,EUR,peer_transfer,family_member_a,-PT21H,,
museum 1.67e -20h,expense,1.67,EUR,entertainment,Museum,-PT20H,,
spent 13.7 ден bus,expense,13.7,MKD,transport,Bus,PT0M,,
spent €0.11 metro,expense,0.11,EUR,transport,Metro,PT0M,,
grocery 2.22€,expense,2.22,EUR,groceries,Grocery,PT0M,,
withdraw salary bank 27.78 eur to cash 14 days ago,transfer,27.78,EUR,transfer,Withdraw,-P14D,Salary Bank,Cash
cab 2.22 eur +1d,expense,2.22,EUR,transport,Cab,P1D,,
train 0.22e -11d,expense,0.22,EUR,transport,Train,-P11D,,
spent 0.22€ tickets,expense,0.22,EUR,entertainment,Tickets,PT0M,,
family_member_b stuff -2.67e,expense,2.67,EUR,peer_transfer,family_member_b stuff,PT0M,,
toto -€0.22,expense,0.22,EUR,transport,Toto,PT0M,,
snacks 0.78€ 10h ago,expense,0.78,EUR,food_drink,Snacks,-PT10H,,
spent 1.13e adjust balance,expense,1.13,EUR,balance_adjustment,Adjust balance,PT0M,,
spent 0.49€ snacks 10 hours ago,expense,0.49,EUR,food_drink,Snacks,-PT10H,,
shaka pola 7.23usd,expense,7.23,USD,other,Shaka pola,PT0M,,
tickets 27.4 den -10d,expense,27.4,MKD,entertainment,Tickets,-P10D,,
adjust balance 0.67€ -11d,expense,0.67,EUR,balance_adjustment,Adjust balance,-P11D,,
spent 0.22e lunch,expense,0.22,EUR,food_drink,Lunch,PT0M,,
recharge -2.88 eur 19 days ago,expense,2.88,EUR,utilities,Recharge,-P19D,,
shave -€0.22 +1d,expense,0.22,EUR,personal_care,Shave,P1D,,
water -0.22 eur,expense,0.22,EUR,food_drink,Water,PT0M,,
spent 2.89e tickets,expense,2.89,EUR,entertainment,Tickets,PT0M,,
water -0.22 eur 18d ago,expense,0.22,EUR,food_drink,Water,-P18D,,
+17.45€ ticket refund -21d,income,17.45,EUR,refund,Ticket Refund,-P21D,,
lunch 2.78e,expense,2.78,EUR,food_drink,Lunch,PT0M,,
spent 1.33e adjust balance -2h,expense,1.33,EUR,balance_adjustment,Adjust balance,-PT2H,,
family_member_a 342.47 ден -17d,expense,342.47,MKD,peer_transfer,family_member_a,-P17D,,
spent 116.44mkd cab,expense,116.44,MKD,transport,Cab,PT0M,,
snacks -136.99 den in 1d,expense,136.99,MKD,food_drink,Snacks,P1D,,
spent 5.56 eur person_b,expense,5.56,EUR,peer_transfer,person_b,PT0M,,
withdraw salary bank €16.67 to cash,transfer,16.67,EUR,transfer,Withdraw,PT0M,Salary Bank,Cash
tickets -18.92e 21 hours ago,expense,18.92,EUR,entertainment,Tickets,-PT21H,,
family_member_a 5.56€,expense,5.56,EUR,peer_transfer,family_member_a,PT0M,,
petrol -1.11 eur,expense,1.11,EUR,fuel,Petrol,PT0M,,
got +1.11€ person_d payback,income,1.11,EUR,other_income,person_d payback,PT0M,,
spent 1.11€ petrol 15 days ago,expense,1.11,EUR,fuel,Petrol,-P15D,,
snacks -2.32e,expense,2.32,EUR,food_drink,Snacks,PT0M,,
spent 2.22e petrol 21h ago,expense,2.22,EUR,fuel,Petrol,-PT21H,,
chips -0.11 eur,expense,0.11,EUR,food_drink,Chips,PT0M,,
spent 0.33€ breakfast,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
petrol -2.22e 25d ago,expense,2.22,EUR,fuel,Petrol,-P25D,,
clothes -8.88e -16d,expense,8.88,EUR,shopping,Clothes,-P16D,,
snacks -2.21 eur 15d ago,expense,2.21,EUR,food_drink,Snacks,-P15D,,
spent 5.56 eur family_member_a,expense,5.56,EUR,peer_transfer,family_member_a,PT0M,,
spent €1 snacks 4h ago,expense,1,EUR,food_drink,Snacks,-PT4H,,
spent 1.11 eur person_d,expense,1.11,EUR,peer_transfer,person_d,PT0M,,
petrol -68.49 den 8 hours ago,expense,68.49,MKD,fuel,Petrol,-PT8H,,
person_a payback +2.22e -14h,income,2.22,EUR,other_income,person_a payback,-PT14H,,
got +1.11€ person_a payback,income,1.11,EUR,other_income,person_a payback,PT0M,,
grocery -€1.94,expense,1.94,EUR,groceries,Grocery,PT0M,,
spent 2.22€ netflix 19 days ago,expense,2.22,EUR,entertainment,Netflix,-P19D,,
transfer €24.17 salary bank to savings bank 2d ago,transfer,24.17,EUR,transfer,Transfer,-P2D,Salary Bank,Savings Bank
got +8005.48 MKD salary 23h ago,income,8005.48,MKD,salary,Salary,-PT23H,,
snacks -0.33 eur 15 days ago,expense,0.33,EUR,food_drink,Snacks,-P15D,,
adjust balance €0.74,expense,0.74,EUR,balance_adjustment,Adjust balance,PT0M,,
person_b -1.72e,expense,1.72,EUR,peer_transfer,person_b,PT0M,,
spent 0.11 eur adjust balance 22 hours ago,expense,0.11,EUR,balance_adjustment,Adjust balance,-PT22H,,
netflix €2.21,expense,2.21,EUR,entertainment,Netflix,PT0M,,
netflix +136.99mkd,income,136.99,MKD,other_income,Netflix,PT0M,,
family_member_a $2.41 tomorrow,expense,2.41,USD,peer_transfer,family_member_a,P1D,,
snacks €1,expense,1,EUR,food_drink,Snacks,PT0M,,
person_i 3.33 eur,expense,3.33,EUR,other,person_i,PT0M,,
petrol -1.11€ -19d,expense,1.11,EUR,fuel,Petrol,-P19D,,
biryani 🍚 5.78e,expense,5.78,EUR,food_drink,Biryani 🍚,PT0M,,
spent 0.6€ adjust balance -6h,expense,0.6,EUR,balance_adjustment,Adjust balance,-PT6H,,
juice 20.55mkd,expense,20.55,MKD,food_drink,Juice,PT0M,,
petrol -1.11e +1d,expense,1.11,EUR,fuel,Petrol,P1D,,
smthng 0.11 eur 18d ago,expense,0.11,EUR,other,Smthng,-P18D,,
spent 2.11e pizza -12h,expense,2.11,EUR,food_drink,Pizza,-PT12H,,
spent €11.11 family_member_a,expense,11.11,EUR,peer_transfer,family_member_a,PT0M,,
snacks -0.39€ 7 days ago,expense,0.39,EUR,food_drink,Snacks,-P7D,,
+7.53 ден reward,income,7.53,MKD,rewards,Reward,PT0M,,
breakfast 20.55mkd 3 hours ago,expense,20.55,MKD,food_drink,Breakfast,-PT3H,,
spent 1.78 eur shirt,expense,1.78,EUR,shopping,Shirt,PT0M,,
bus 20.55 MKD,expense,20.55,MKD,transport,Bus,PT0M,,
spent 0.39 eur juice -14d,expense,0.39,EUR,food_drink,Juice,-P14D,,
withdraw salary bank 3.33e to cash tomorrow,transfer,3.33,EUR,transfer,Withdraw,P1D,Salary Bank,Cash
spent 0.22 eur auto 23h ago,expense,0.22,EUR,transport,Auto,-PT23H,,
recharge 106.16mkd +1d,expense,106.16,MKD,utilities,Recharge,P1D,,
person_b 342.47 den,expense,342.47,MKD,peer_transfer,person_b,PT0M,,
spent 0.62 eur adjust balance -23d,expense,0.62,EUR,balance_adjustment,Adjust balance,-P23D,,
snacks -0.33e -19h,expense,0.33,EUR,food_drink,Snacks,-PT19H,,
spent €0.04 shampoo,expense,0.04,EUR,personal_care,Shampoo,PT0M,,
spent 2.78 eur petrol,expense,2.78,EUR,fuel,Petrol,PT0M,,
stationary 0.22 eur,expense,0.22,EUR,education,Stationary,PT0M,,
ice cream €0.22 7h ago,expense,0.22,EUR,food_drink,Ice cream,-PT7H,,
spent 0.67e snacks,expense,0.67,EUR,food_drink,Snacks,PT0M,,
spent 0.78e lunch,expense,0.78,EUR,food_drink,Lunch,PT0M,,
auto -0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
bus €0.44,expense,0.44,EUR,transport,Bus,PT0M,,
auto €0.22,expense,0.22,EUR,transport,Auto,PT0M,,
juice -€0.33,expense,0.33,EUR,food_drink,Juice,PT0M,,
printing -6.17e,expense,6.17,EUR,education,Printing,PT0M,,
spent 0.33 eur breakfast,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
recharge -€2.88,expense,2.88,EUR,utilities,Recharge,PT0M,,
internet 5.23e,expense,5.23,EUR,utilities,Internet,PT0M,,
spent 0.11e juice,expense,0.11,EUR,food_drink,Juice,PT0M,,
brake 0.6 dollar,expense,0.6,USD,vehicle_maintenance,Brake,PT0M,,
ice cream 23.97 den -14d,expense,23.97,MKD,food_drink,Ice Cream,-P14D,,
spent 1.11 eur petrol -15h,expense,1.11,EUR,fuel,Petrol,-PT15H,,
adjust balance 0.44€ 3d ago,expense,0.44,EUR,balance_adjustment,Adjust balance,-P3D,,
juice -0.83e -8d,expense,0.83,EUR,food_drink,Juice,-P8D,,
juice -0.22e,expense,0.22,EUR,food_drink,Juice,PT0M,,
spent 14.91 eur tickets,expense,14.91,EUR,entertainment,Tickets,PT0M,,
tickets 919.04mkd,expense,919.04,MKD,entertainment,Tickets,PT0M,,
maggi €0.16,expense,0.16,EUR,food_drink,Maggi,PT0M,,
breakfast -0.33€,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
spent 20.55 den breakfast,expense,20.55,MKD,food_drink,Breakfast,PT0M,,
juice -€1.44,expense,1.44,EUR,food_drink,Juice,PT0M,,
shawarma 🌯 2.44 eur,expense,2.44,EUR,food_drink,Shawarma 🌯,PT0M,,
rta $0.42,expense,0.42,USD,transport,RtA,PT0M,,
spent €0.11 bus,expense,0.11,EUR,transport,Bus,PT0M,,
atr -23.97 den in 1d,expense,23.97,MKD,transport,AtR,P1D,,
recharge 2.22 eur salary bank to metro card,transfer,2.22,EUR,transfer,Recharge,PT0M,Salary Bank,Metro Card
juice 0.11e,expense,0.11,EUR,food_drink,Juice,PT0M,,
bus -0.22€ -14h,expense,0.22,EUR,transport,Bus,-PT14H,,
spent 0.39€ rta,expense,0.39,EUR,transport,RtA,PT0M,,
atr -0.42 dollar,expense,0.42,USD,transport,AtR,PT0M,,
snacks 0.36 USD tomorrow,expense,0.36,USD,food_drink,Snacks,P1D,,
snacks $0.72,expense,0.72,USD,food_drink,Snacks,PT0M,,
rta -0.39 eur 11 hours ago,expense,0.39,EUR,transport,RtA,-PT11H,,
spent 0.39€ atr,expense,0.39,EUR,transport,AtR,PT0M,,
spent 16.87 dollar screen,expense,16.87,USD,shopping,Screen,PT0M,,
snacks 13.7mkd,expense,13.7,MKD,food_drink,Snacks,PT0M,,
breakfast -0.36 USD 30d ago,expense,0.36,USD,food_drink,Breakfast,-P30D,,
juice 0.89€ 30 days ago,expense,0.89,EUR,food_drink,Juice,-P30D,,
spent 6.85mkd bus 8 hours ago,expense,6.85,MKD,transport,Bus,-PT8H,,
spent 23.97 MKD rta,expense,23.97,MKD,transport,RtA,PT0M,,
atr -0.39€ 19d ago,expense,0.39,EUR,transport,AtR,-P19D,,
bus -0.11e tomorrow,expense,0.11,EUR,transport,Bus,P1D,,
spent 23.97 MKD rta -19d,expense,23.97,MKD,transport,RtA,-P19D,,
spent 0.39 eur atr -19d,expense,0.39,EUR,transport,AtR,-P19D,,
shawarma 🌯 1.33 eur -17h,expense,1.33,EUR,food_drink,Shawarma 🌯,-PT17H,,
spent 6.85mkd bus -18h,expense,6.85,MKD,transport,Bus,-PT18H,,
bus -0.11 eur 5d ago,expense,0.11,EUR,transport,Bus,-P5D,,
petrol -1.11€,expense,1.11,EUR,fuel,Petrol,PT0M,,
rta 23.97 den,expense,23.97,MKD,transport,RtA,PT0M,,
atr 0.39e -18h,expense,0.39,EUR,transport,AtR,-PT18H,,
juice -0.44 eur,expense,0.44,EUR,food_drink,Juice,PT0M,,
lunch -€1.11 -20h,expense,1.11,EUR,food_drink,Lunch,-PT20H,,
adjust balance +€0.89 -5h,income,0.89,EUR,balance_adjustment,Adjust balance,-PT5H,,
adjust balance 0.33 eur,expense,0.33,EUR,balance_adjustment,Adjust balance,PT0M,,
petrol €2.22 -16h,expense,2.22,EUR,fuel,Petrol,-PT16H,,
medic -0.22€ 13d ago,expense,0.22,EUR,health,Medic,-P13D,,
spent €1.11 petrol,expense,1.11,EUR,fuel,Petrol,PT0M,,
recharge -3.22usd in 1d,expense,3.22,USD,utilities,Recharge,P1D,,
petrol 0.56e tmr,expense,0.56,EUR,fuel,Petrol,P1D,,
exam fees 22.22 eur -2h,expense,22.22,EUR,education,Exam Fees,-PT2H,,
juice 0.89€,expense,0.89,EUR,food_drink,Juice,PT0M,,
bus 0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
auto 0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
spent 0.89 eur juice,expense,0.89,EUR,food_drink,Juice,PT0M,,
snacks €0.33,expense,0.33,EUR,food_drink,Snacks,PT0M,,
transfer salary bank €22.22 to savings bank tmr,transfer,22.22,EUR,transfer,Transfer,P1D,Salary Bank,Savings Bank
netflix 2.21e +1d,expense,2.21,EUR,entertainment,Netflix,P1D,,
family_member_a €55.56 -22d,expense,55.56,EUR,peer_transfer,family_member_a,-P22D,,
adjust balance -0.33e,expense,0.33,EUR,balance_adjustment,Adjust balance,PT0M,,
recharge 1.72€,expense,1.72,EUR,utilities,Recharge,PT0M,,
juice -0.72 dollar,expense,0.72,USD,food_drink,Juice,PT0M,,
recharge salary bank €2.22 to metro card 21d ago,transfer,2.22,EUR,transfer,Recharge,-P21D,Salary Bank,Metro Card
withdraw salary bank 3.33€ to cash 13h ago,transfer,3.33,EUR,transfer,Withdraw,-PT13H,Salary Bank,Cash
rta €0.39 -11h,expense,0.39,EUR,transport,RtA,-PT11H,,
atr -23.97 den 6d ago,expense,23.97,MKD,transport,AtR,-P6D,,
spent 20.55 ден water,expense,20.55,MKD,food_drink,Water,PT0M,,
salary +215.19e 9 hours ago,income,215.19,EUR,salary,Salary,-PT9H,,
bus -0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
atr 0.39 eur,expense,0.39,EUR,transport,AtR,PT0M,,
spent 23.97 ден rta -5h,expense,23.97,MKD,transport,RtA,-PT5H,,
juice 1 eur tomorrow,expense,1,EUR,food_drink,Juice,P1D,,
bus -6.85 ден,expense,6.85,MKD,transport,Bus,PT0M,,
rta -0.39€ 3 days ago,expense,0.39,EUR,transport,RtA,-P3D,,
adjust balance €0.89 -23h,expense,0.89,EUR,balance_adjustment,Adjust balance,-PT23H,,
bus 0.11€ -10h,expense,0.11,EUR,transport,Bus,-PT10H,,
atr -0.39 eur,expense,0.39,EUR,transport,AtR,PT0M,,
spent 342.47mkd family_member_a 10 hours ago,expense,342.47,MKD,peer_transfer,family_member_a,-PT10H,,
breakfast 0.33 eur,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
🍰 1.11€,expense,1.11,EUR,food_drink,🍰,PT0M,,
spent 27.4 den milk,expense,27.4,MKD,groceries,Milk,PT0M,,
snacks 1e -6h,expense,1,EUR,food_drink,Snacks,-PT6H,,
water -0.67e -6d,expense,0.67,EUR,food_drink,Water,-P6D,,
juice 82.19 den,expense,82.19,MKD,food_drink,Juice,PT0M,,
water -0.67€ -1d,expense,0.67,EUR,food_drink,Water,-P1D,,
lunch -€1.11,expense,1.11,EUR,food_drink,Lunch,PT0M,,
+1.11 eur person_e 16h ago,income,1.11,EUR,other_income,person_e,-PT16H,,
got +€3.33 person_f,income,3.33,EUR,other_income,person_f,PT0M,,
spent 1.11€ petrol,expense,1.11,EUR,fuel,Petrol,PT0M,,
juice 33.56 den,expense,33.56,MKD,food_drink,Juice,PT0M,,
person_b €5.56 -1h,expense,5.56,EUR,peer_transfer,person_b,-PT1H,,
snacks 0.11€,expense,0.11,EUR,food_drink,Snacks,PT0M,,
spent 0.54 eur drink ye,expense,0.54,EUR,food_drink,Drink,-P1D,,
lunch -1.33 eur in 1d,expense,1.33,EUR,food_drink,Lunch,P1D,,
water 41.1mkd,expense,41.1,MKD,food_drink,Water,PT0M,,
petrol -1.11€,expense,1.11,EUR,fuel,Petrol,PT0M,,
snacks -€0.22,expense,0.22,EUR,food_drink,Snacks,PT0M,,
petrol 1.11e 11h ago,expense,1.11,EUR,fuel,Petrol,-PT11H,,
shirt -7.77 eur 26d ago,expense,7.77,EUR,shopping,Shirt,-P26D,,
petrol 68.49mkd,expense,68.49,MKD,fuel,Petrol,PT0M,,
petrol -34.25 MKD,expense,34.25,MKD,fuel,Petrol,PT0M,,
snacks -0.67€,expense,0.67,EUR,food_drink,Snacks,PT0M,,
team lunch -8.83e,expense,8.83,EUR,food_drink,Team lunch,PT0M,,
bus 0.24usd,expense,0.24,USD,transport,Bus,PT0M,,
rta -0.39 eur,expense,0.39,EUR,transport,RtA,PT0M,,
spent 0.39 eur atr 22h ago,expense,0.39,EUR,transport,AtR,-PT22H,,
bus 0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
rta -0.39 eur,expense,0.39,EUR,transport,RtA,PT0M,,
bus pass -4.78 eur,expense,4.78,EUR,transport,Bus Pass,PT0M,,
recharge 2.88e -5h,expense,2.88,EUR,utilities,Recharge,-PT5H,,
+€0.49 adjust balance,income,0.49,EUR,balance_adjustment,Adjust balance,PT0M,,
settlement 13.7 ден,expense,13.7,MKD,other,Settlement,PT0M,,
adjust balance -0.22e 4 days ago,expense,0.22,EUR,balance_adjustment,Adjust balance,-P4D,,
bus 0.33€,expense,0.33,EUR,transport,Bus,PT0M,,
spent €0.39 atr,expense,0.39,EUR,transport,AtR,PT0M,,
juice €0.44,expense,0.44,EUR,food_drink,Juice,PT0M,,
manchuria -€0.78,expense,0.78,EUR,food_drink,Manchuria,PT0M,,
breakfast -€0.28,expense,0.28,EUR,food_drink,Breakfast,PT0M,,
spent 1.11€ petrol +1d,expense,1.11,EUR,fuel,Petrol,P1D,,
tyre -0.11 eur,expense,0.11,EUR,vehicle_maintenance,Tyre,PT0M,,
shirt -547.26mkd -8d,expense,547.26,MKD,shopping,Shirt,-P8D,,
burrito -0.92€ 13h ago,expense,0.92,EUR,food_drink,Burrito,-PT13H,,
got +€0.99 person_c payup,income,0.99,EUR,other_income,person_c PayUp,PT0M,,
spent 0.98e ice cream,expense,0.98,EUR,food_drink,Ice Cream,PT0M,,
water 0.33 eur,expense,0.33,EUR,food_drink,Water,PT0M,,
bus -0.11e,expense,0.11,EUR,transport,Bus,PT0M,,
spent €0.39 rta 10h ago,expense,0.39,EUR,transport,RtA,-PT10H,,
spent 0.39 eur atr,expense,0.39,EUR,transport,AtR,PT0M,,
spent 0.9 dollar snacks,expense,0.9,USD,food_drink,Snacks,PT0M,,
snacks €1.44,expense,1.44,EUR,food_drink,Snacks,PT0M,,
recharge 2.41 dollar salary bank to metro card 22d ago,transfer,2.41,USD,transfer,Recharge,-P22D,Salary Bank,Metro Card
atr -0.39e 5 days ago,expense,0.39,EUR,transport,AtR,-P5D,,
withdraw 3.33 eur salary bank to cash,transfer,3.33,EUR,transfer,Withdraw,PT0M,Salary Bank,Cash
rta -0.39 eur 20 days ago,expense,0.39,EUR,transport,RtA,-P20D,,
bus 0.11e,expense,0.11,EUR,transport,Bus,PT0M,,
spent 0.39e atr,expense,0.39,EUR,transport,AtR,PT0M,,
spent €0.11 bus,expense,0.11,EUR,transport,Bus,PT0M,,
rta -0.39€ 20h ago,expense,0.39,EUR,transport,RtA,-PT20H,,
snacks -41.1mkd 8 days ago,expense,41.1,MKD,food_drink,Snacks,-P8D,,
domain -6.85e,expense,6.85,EUR,utilities,Domain,PT0M,,
atr 0.39 eur,expense,0.39,EUR,transport,AtR,PT0M,,
bus 0.11 eur tomorrow,expense,0.11,EUR,transport,Bus,P1D,,
breakfast -0.33€ 28 days ago,expense,0.33,EUR,food_drink,Breakfast,-P28D,,
bus 13.7 MKD,expense,13.7,MKD,transport,Bus,PT0M,,
recharge salary bank 2.41 dollar to metro card tmr,transfer,2.41,USD,transfer,Recharge,P1D,Salary Bank,Metro Card
spent €0.39 rta,expense,0.39,EUR,transport,RtA,PT0M,,
spent €0.39 atr -15d,expense,0.39,EUR,transport,AtR,-P15D,,
adjust balance 0.44e tmr,expense,0.44,EUR,balance_adjustment,Adjust balance,P1D,,
rta -0.39e -22h,expense,0.39,EUR,transport,RtA,-PT22H,,
spent 0.33 eur adjust balance,expense,0.33,EUR,balance_adjustment,Adjust balance,PT0M,,
adjust balance -€0.79 -22h,expense,0.79,EUR,balance_adjustment,Adjust balance,-PT22H,,
spent 11.11 eur gym 26 days ago,expense,11.11,EUR,health,Gym,-P26D,,
atr 23.97 ден 14 days ago,expense,23.97,MKD,transport,AtR,-P14D,,
spent €1.56 shawarma 🌯 17h ago,expense,1.56,EUR,food_drink,Shawarma 🌯,-PT17H,,
atr -€0.39,expense,0.39,EUR,transport,AtR,PT0M,,
bus -6.85 MKD,expense,6.85,MKD,transport,Bus,PT0M,,
spent 0.33€ breakfast,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
spent 3.01 USD fest,expense,3.01,USD,entertainment,Fest,PT0M,,
spent 0.11e juice -23d,expense,0.11,EUR,food_drink,Juice,-P23D,,
spent 0.11e bus 15d ago,expense,0.11,EUR,transport,Bus,-P15D,,
spent 0.33e juice 2 hours ago,expense,0.33,EUR,food_drink,Juice,-PT2H,,
spent €0.22 auto +1d,expense,0.22,EUR,transport,Auto,P1D,,
juice 20.55 den 18 hours ago,expense,20.55,MKD,food_drink,Juice,-PT18H,,
rta -0.39e,expense,0.39,EUR,transport,RtA,PT0M,,
recharge 2.22 eur salary bank to metro card,transfer,2.22,EUR,transfer,Recharge,PT0M,Salary Bank,Metro Card
wow 3.44€,expense,3.44,EUR,other,Wow,PT0M,,
juice 0.28e 19 hours ago,expense,0.28,EUR,food_drink,Juice,-PT19H,,
spent 0.39 eur atr 15 hours ago,expense,0.39,EUR,transport,AtR,-PT15H,,
snacks 0.83€,expense,0.83,EUR,food_drink,Snacks,PT0M,,
petrol 1.11e,expense,1.11,EUR,fuel,Petrol,PT0M,,
+8.46e stonks 21 hours ago,income,8.46,EUR,investment_income,Stonks,-PT21H,,
transfer salary bank 35.54€ to savings bank -12d,transfer,35.54,EUR,transfer,Transfer,-P12D,Salary Bank,Savings Bank
+€111.11 family_member_b,income,111.11,EUR,family_support,family_member_b,PT0M,,
spent 0.11€ bus,expense,0.11,EUR,transport,Bus,PT0M,,
atr 0.42 USD,expense,0.42,USD,transport,AtR,PT0M,,
atr 23.97 den,expense,23.97,MKD,transport,AtR,PT0M,,
spent 0.39 eur rta,expense,0.39,EUR,transport,RtA,PT0M,,
juice -0.11€,expense,0.11,EUR,food_drink,Juice,PT0M,,
juice 0.67 eur 20 hours ago,expense,0.67,EUR,food_drink,Juice,-PT20H,,
got +41.1 den person_b 20 hours ago,income,41.1,MKD,other_income,person_b,-PT20H,,
bus -0.11e,expense,0.11,EUR,transport,Bus,PT0M,,
netflix -2.21 eur 22d ago,expense,2.21,EUR,entertainment,Netflix,-P22D,,
person_b $36.14,expense,36.14,USD,peer_transfer,person_b,PT0M,,
+1.11€ person_j 22 days ago,income,1.11,EUR,other_income,person_j,-P22D,,
snacks -€1.78,expense,1.78,EUR,food_drink,Snacks,PT0M,,
spent €0.56 juice,expense,0.56,EUR,food_drink,Juice,PT0M,,
spent 34.25 den adjust balance -6d,expense,34.25,MKD,balance_adjustment,Adjust balance,-P6D,,
atr -€0.39,expense,0.39,EUR,transport,AtR,PT0M,,
spent 0.11€ bus,expense,0.11,EUR,transport,Bus,PT0M,,
