date,title,category,account,amount,currency,type,transfer_amount,transfer_currency,to_account,receive_amount,receive_currency
2024-06-20 12:39:19.568,Adjust balance,balance_adjustment,Salary Bank,0.67,EUR,expense,,,,,
2024-06-20 12:30:33.462,Lunch,food_drink,Salary Bank,0.22,EUR,expense,,,,,
2024-06-20 12:30:04.622,Recharge,utilities,Salary Bank,2.88,EUR,expense,,,,,
2024-06-19 12:34:00.000,Shave,personal_care,Salary Bank,0.22,EUR,expense,,,,,
2024-06-17 15:10:03.406,Water,food_drink,Cash,0.22,EUR,expense,,,,,
2024-06-17 14:56:11.086,Tickets,entertainment,Cash,2.89,EUR,expense,,,,,
2024-06-17 12:22:07.086,Water,food_drink,Cash,0.22,EUR,expense,,,,,
2024-06-17 10:07:14.477,Ticket Refund,refund,Salary Bank,17.45,EUR,income,,,,,
2024-06-17 08:10:41.282,Lunch,food_drink,Salary Bank,2.78,EUR,expense,,,,,
2024-06-17 05:15:33.151,Adjust balance,balance_adjustment,Cash,1.33,EUR,expense,,,,,
2024-06-16 23:32:32.665,family_member_a,peer_transfer,Cash,342.47,MKD,expense,,,,,
2024-06-16 08:17:00.000,Cab,transport,Salary Bank,116.44,MKD,expense,,,,,
2024-06-16 07:45:50.967,Snacks,food_drink,Salary Bank,136.99,MKD,expense,,,,,
2024-06-16 07:45:35.414,person_b,peer_transfer,Cash,5.56,EUR,expense,,,,,
2024-06-16 07:45:25.649,Withdraw,transfer,Salary Bank,16.67,EUR,transfer,16.67,EUR,Cash,16.67,EUR
2024-06-16 07:45:01.144,Tickets,entertainment,Salary Bank,18.92,EUR,expense,,,,,
2024-06-15 18:30:01.003,family_member_a,peer_transfer,Salary Bank,5.56,EUR,expense,,,,,
2024-06-14 18:29:00.000,Petrol,fuel,Cash,1.11,EUR,expense,,,,,
2024-06-14 18:29:00.000,person_d payback,other_income,Cash,1.11,EUR,income,,,,,
2024-06-14 03:57:50.574,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-06-13 15:22:37.432,Snacks,food_drink,Salary Bank,2.32,EUR,expense,,,,,
2024-06-13 15:22:05.293,Petrol,fuel,Salary Bank,2.22,EUR,expense,,,,,
2024-06-11 08:25:03.581,Chips,food_drink,Salary Bank,0.11,EUR,expense,,,,,
2024-06-10 05:26:27.942,Breakfast,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-06-09 05:26:00.000,Petrol,fuel,Salary Bank,2.22,EUR,expense,,,,,
2024-06-09 05:24:00.000,Clothes,shopping,Salary Bank,8.88,EUR,expense,,,,,
2024-06-09 05:21:00.000,Snacks,food_drink,Salary Bank,2.21,EUR,expense,,,,,
2024-06-07 16:56:39.988,family_member_a,peer_transfer,Salary Bank,5.56,EUR,expense,,,,,
2024-06-07 16:56:30.798,Snacks,food_drink,Salary Bank,1,EUR,expense,,,,,
2024-06-07 16:56:18.253,person_d,peer_transfer,Salary Bank,1.11,EUR,expense,,,,,
2024-06-07 16:56:10.389,Petrol,fuel,Salary Bank,68.49,MKD,expense,,,,,
2024-06-07 05:49:15.113,person_a payback,other_income,Salary Bank,2.22,EUR,income,,,,,
2024-06-07 05:48:57.032,person_a payback,other_income,Cash,1.11,EUR,income,,,,,
2024-06-05 14:47:55.268,Grocery,groceries,Salary Bank,1.94,EUR,expense,,,,,
2024-06-05 13:59:13.995,Netflix,entertainment,Savings Bank,2.22,EUR,expense,,,,,
2024-06-05 13:55:51.663,Settlement,transfer,Salary Bank,24.17,EUR,transfer,24.17,EUR,Savings Bank,24.17,EUR
2024-06-05 08:22:32.878,Salary,salary,Salary Bank,8005.48,MKD,income,,,,,
2024-06-05 05:29:00.000,Snacks,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-06-05 04:36:19.506,Adjust balance,balance_adjustment,Cash,0.74,EUR,expense,,,,,
2024-06-05 04:33:40.272,person_b,peer_transfer,Savings Bank,1.72,EUR,expense,,,,,
2024-06-05 04:31:51.877,Adjust balance,balance_adjustment,Salary Bank,0.11,EUR,expense,,,,,
2024-06-05 04:31:24.237,Netflix,entertainment,Salary Bank,2.21,EUR,expense,,,,,
2024-06-05 04:31:12.252,Netflix,other_income,Salary Bank,136.99,MKD,income,,,,,
2024-06-04 03:35:41.791,family_member_a,peer_transfer,Salary Bank,2.41,USD,expense,,,,,
2024-06-03 12:36:00.077,Snacks,food_drink,Cash,1,EUR,expense,,,,,
2024-06-03 05:07:41.196,person_i,other,Savings Bank,3.33,EUR,expense,,,,,
2024-06-03 05:04:36.556,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-05-31 03:09:00.000,Biryani 🍚,food_drink,Savings Bank,5.78,EUR,expense,,,,,
2024-05-31 03:08:00.000,Adjust balance,balance_adjustment,Salary Bank,0.6,EUR,expense,,,,,
2024-05-31 03:03:00.000,Juice,food_drink,Salary Bank,20.55,MKD,expense,,,,,
2024-05-31 03:03:00.000,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-05-31 03:01:00.000,Smthng,other,Cash,0.11,EUR,expense,,,,,
2024-05-30 14:19:51.971,Pizza,food_drink,Salary Bank,2.11,EUR,expense,,,,,
2024-05-30 08:34:31.739,family_member_a,peer_transfer,Savings Bank,11.11,EUR,expense,,,,,
2024-05-29 11:05:25.670,Snacks,food_drink,Salary Bank,0.39,EUR,expense,,,,,
2024-05-29 04:27:14.022,Reward,rewards,Salary Bank,7.53,MKD,income,,,,,
2024-05-29 04:26:59.011,Breakfast,food_drink,Salary Bank,20.55,MKD,expense,,,,,
2024-05-28 14:50:27.897,Shirt,shopping,Salary Bank,1.78,EUR,expense,,,,,
2024-05-28 14:49:47.594,Bus,transport,Cash,20.55,MKD,expense,,,,,
2024-05-28 14:49:32.484,Juice,food_drink,Salary Bank,0.39,EUR,expense,,,,,
2024-05-28 14:49:13.738,Withdraw,transfer,Salary Bank,3.33,EUR,transfer,3.33,EUR,Cash,3.33,EUR
2024-05-28 14:48:52.931,Auto,transport,Cash,0.22,EUR,expense,,,,,
2024-05-27 15:14:02.274,Recharge,utilities,Salary Bank,106.16,MKD,expense,,,,,
2024-05-27 15:13:47.982,person_b,peer_transfer,Salary Bank,342.47,MKD,expense,,,,,
2024-05-27 12:09:12.844,Adjust balance,balance_adjustment,Salary Bank,0.62,EUR,expense,,,,,
2024-05-27 12:08:00.000,Snacks,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-05-26 12:49:22.743,Shampoo,personal_care,Cash,0.04,EUR,expense,,,,,
2024-05-26 12:08:00.000,Petrol,fuel,Salary Bank,2.78,EUR,expense,,,,,
2024-05-26 12:08:00.000,Stationary,education,Salary Bank,0.22,EUR,expense,,,,,
2024-05-25 15:20:10.319,Ice cream,food_drink,Salary Bank,0.22,EUR,expense,,,,,
2024-05-25 15:19:41.615,Snacks,food_drink,Salary Bank,0.67,EUR,expense,,,,,
2024-05-25 08:21:43.140,Lunch,food_drink,Salary Bank,0.78,EUR,expense,,,,,
2024-05-25 08:21:34.647,Auto,transport,Salary Bank,0.22,EUR,expense,,,,,
2024-05-24 08:43:00.000,Bus,transport,Cash,0.44,EUR,expense,,,,,
2024-05-24 08:20:00.000,Auto,transport,Salary Bank,0.22,EUR,expense,,,,,
2024-05-24 08:20:00.000,Juice,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-05-24 06:37:00.000,Printing,education,Salary Bank,6.17,EUR,expense,,,,,
2024-05-23 04:48:28.675,Breakfast,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-05-21 16:32:00.000,Recharge,utilities,Salary Bank,2.88,EUR,expense,,,,,
2024-05-21 16:32:00.000,Internet,utilities,Salary Bank,5.23,EUR,expense,,,,,
2024-05-21 16:09:59.066,Juice,food_drink,Salary Bank,0.11,EUR,expense,,,,,
2024-05-21 16:09:46.701,Brake,vehicle_maintenance,Salary Bank,0.6,USD,expense,,,,,
2024-05-21 16:09:35.189,Ice Cream,food_drink,Salary Bank,23.97,MKD,expense,,,,,
2024-05-21 16:09:22.620,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-05-21 16:07:26.434,Adjust balance,balance_adjustment,Cash,0.44,EUR,expense,,,,,
2024-05-20 16:08:00.000,Juice,food_drink,Salary Bank,0.83,EUR,expense,,,,,
2024-05-20 16:08:00.000,Juice,food_drink,Salary Bank,0.22,EUR,expense,,,,,
2024-05-19 16:01:00.286,Tickets,entertainment,Salary Bank,14.91,EUR,expense,,,,,
2024-05-19 16:00:35.999,Tickets,entertainment,Salary Bank,919.04,MKD,expense,,,,,
2024-05-19 15:41:26.721,Maggi,food_drink,Salary Bank,0.16,EUR,expense,,,,,
2024-05-17 04:12:00.000,Breakfast,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-05-16 04:11:00.000,Breakfast,food_drink,Salary Bank,20.55,MKD,expense,,,,,
2024-05-15 17:52:40.255,Juice,food_drink,Salary Bank,1.44,EUR,expense,,,,,
2024-05-15 17:52:10.428,Shawarma 🌯,food_drink,Salary Bank,2.44,EUR,expense,,,,,
2024-05-15 17:51:58.694,RtA,transport,Metro Card,0.42,USD,expense,,,,,
2024-05-15 08:17:35.531,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-05-15 08:17:02.946,AtR,transport,Salary Bank,23.97,MKD,expense,,,,,
2024-05-14 17:56:02.463,Recharge,transfer,Salary Bank,2.22,EUR,transfer,2.22,EUR,Metro Card,2.22,EUR
2024-05-14 17:55:02.389,Juice,food_drink,Cash,0.11,EUR,expense,,,,,
2024-05-14 17:54:56.837,Bus,transport,Cash,0.22,EUR,expense,,,,,
2024-05-14 17:54:47.434,RtA,transport,Metro Card,0.39,EUR,expense,,,,,
2024-05-14 17:54:46.663,AtR,transport,Metro Card,0.42,USD,expense,,,,,
2024-05-12 17:55:00.000,Snacks,food_drink,Salary Bank,0.36,USD,expense,,,,,
2024-05-10 13:40:00.000,Snacks,food_drink,Salary Bank,0.72,USD,expense,,,,,
2024-05-10 12:20:52.330,RtA,transport,Metro Card,0.39,EUR,expense,,,,,
2024-05-10 12:20:51.356,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
2024-05-09 14:04:51.085,Screen,shopping,Salary Bank,16.87,USD,expense,,,,,
2024-05-09 14:04:30.298,Snacks,food_drink,Salary Bank,13.7,MKD,expense,,,,,
2024-05-09 14:04:20.041,Breakfast,food_drink,Salary Bank,0.36,USD,expense,,,,,
2024-05-08 04:14:00.000,Juice,food_drink,Salary Bank,0.89,EUR,expense,,,,,
2024-05-08 04:14:00.000,Bus,transport,Cash,6.85,MKD,expense,,,,,
2024-05-08 04:13:00.000,RtA,transport,Metro Card,23.97,MKD,expense,,,,,
2024-05-08 03:46:18.433,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
2024-05-08 03:46:14.380,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-05-07 13:46:21.123,RtA,transport,Metro Card,23.97,MKD,expense,,,,,
2024-05-07 13:46:19.740,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
2024-05-07 03:46:00.000,Shawarma 🌯,food_drink,Salary Bank,1.33,EUR,expense,,,,,
2024-05-07 03:45:00.000,Bus,transport,Cash,6.85,MKD,expense,,,,,
2024-05-06 15:16:28.152,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-05-06 15:15:51.819,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-05-06 15:15:41.755,RtA,transport,Metro Card,23.97,MKD,expense,,,,,
2024-05-06 15:15:40.067,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
2024-05-06 08:43:44.835,Juice,food_drink,Salary Bank,0.44,EUR,expense,,,,,
2024-05-06 08:43:34.035,Lunch,food_drink,Salary Bank,1.11,EUR,expense,,,,,
2024-05-06 03:28:14.651,Adjust balance,balance_adjustment,Salary Bank,0.89,EUR,income,,,,,
2024-05-06 03:22:18.337,Adjust balance,balance_adjustment,Cash,0.33,EUR,expense,,,,,
2024-05-04 03:27:00.000,Petrol,fuel,Salary Bank,2.22,EUR,expense,,,,,
2024-05-04 03:27:00.000,Medic,health,Salary Bank,0.22,EUR,expense,,,,,
2024-05-03 03:26:00.000,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-05-03 03:26:00.000,Recharge,utilities,Salary Bank,3.22,USD,expense,,,,,
2024-05-03 03:26:00.000,Petrol,fuel,Salary Bank,0.56,EUR,expense,,,,,
2024-05-02 06:59:13.423,Exam Fees,education,Salary Bank,22.22,EUR,expense,,,,,
2024-05-02 06:59:01.605,Juice,food_drink,Salary Bank,0.89,EUR,expense,,,,,
2024-05-02 06:58:52.514,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-05-02 06:58:47.253,Auto,transport,Cash,0.22,EUR,expense,,,,,
2024-05-02 03:25:00.000,Juice,food_drink,Salary Bank,0.89,EUR,expense,,,,,
2024-05-02 03:25:00.000,Snacks,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-05-02 01:49:29.202,Savings,transfer,Salary Bank,22.22,EUR,transfer,22.22,EUR,Savings Bank,22.22,EUR
2024-05-02 01:49:07.739,Netflix,entertainment,Salary Bank,2.21,EUR,expense,,,,,
2024-05-02 01:46:00.656,family_member_a,peer_transfer,Salary Bank,55.56,EUR,expense,,,,,
2024-05-01 16:01:11.889,Adjust balance,balance_adjustment,Salary Bank,0.33,EUR,expense,,,,,
2024-05-01 16:00:51.168,Recharge,utilities,Salary Bank,1.72,EUR,expense,,,,,
2024-05-01 16:00:00.363,Juice,food_drink,Salary Bank,0.72,USD,expense,,,,,
2024-05-01 15:59:19.629,Recharge,transfer,Salary Bank,2.22,EUR,transfer,2.22,EUR,Metro Card,2.22,EUR
2024-05-01 15:58:54.202,Withdraw,transfer,Salary Bank,3.33,EUR,transfer,3.33,EUR,Cash,3.33,EUR
2024-05-01 15:57:45.381,RtA,transport,Cash,0.39,EUR,expense,,,,,
2024-05-01 03:50:02.977,AtR,transport,Metro Card,23.97,MKD,expense,,,,,
2024-05-01 03:25:35.843,Water,food_drink,Salary Bank,20.55,MKD,expense,,,,,
2024-04-30 14:50:06.823,Salary,salary,Salary Bank,215.19,EUR,income,,,,,
2024-04-30 14:49:49.288,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-04-30 14:49:41.429,AtR,transport,Salary Bank,0.39,EUR,expense,,,,,
2024-04-30 14:49:29.643,RtA,transport,Salary Bank,23.97,MKD,expense,,,,,
2024-04-30 02:03:00.000,Juice,food_drink,Salary Bank,1,EUR,expense,,,,,
2024-04-29 18:43:47.723,Bus,transport,Cash,6.85,MKD,expense,,,,,
2024-04-29 18:43:40.127,RtA,transport,Salary Bank,0.39,EUR,expense,,,,,
2024-04-29 12:05:51.225,Adjust balance,balance_adjustment,Cash,0.89,EUR,expense,,,,,
2024-04-29 08:51:18.570,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-04-29 08:51:06.330,AtR,transport,Salary Bank,0.39,EUR,expense,,,,,
2024-04-28 15:27:48.931,family_member_a,peer_transfer,Salary Bank,342.47,MKD,expense,,,,,
2024-04-28 14:17:36.623,Breakfast,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-04-27 14:17:00.000,🍰,food_drink,Salary Bank,1.11,EUR,expense,,,,,
2024-04-27 14:17:00.000,Milk,groceries,Salary Bank,27.4,MKD,expense,,,,,
2024-04-27 14:16:00.000,Snacks,food_drink,Salary Bank,1,EUR,expense,,,,,
2024-04-27 14:15:00.000,Water,food_drink,Salary Bank,0.67,EUR,expense,,,,,
2024-04-27 14:07:00.000,Juice,food_drink,Salary Bank,82.19,MKD,expense,,,,,
2024-04-27 14:06:00.000,Water,food_drink,Salary Bank,0.67,EUR,expense,,,,,
2024-04-27 14:06:00.000,Lunch,food_drink,Salary Bank,1.11,EUR,expense,,,,,
2024-04-27 14:05:00.000,person_e,other_income,Salary Bank,1.11,EUR,income,,,,,
2024-04-27 14:05:00.000,person_f,other_income,Salary Bank,3.33,EUR,income,,,,,
2024-04-27 14:04:00.000,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-04-26 14:04:00.000,Juice,food_drink,Salary Bank,33.56,MKD,expense,,,,,
2024-04-26 14:04:00.000,person_b,peer_transfer,Salary Bank,5.56,EUR,expense,,,,,
2024-04-26 14:03:00.000,Snacks,food_drink,Salary Bank,0.11,EUR,expense,,,,,
2024-04-26 14:03:00.000,Drink,food_drink,Salary Bank,0.54,EUR,expense,,,,,
2024-04-26 14:03:00.000,Lunch,food_drink,Salary Bank,1.33,EUR,expense,,,,,
2024-04-26 14:02:00.000,Water,food_drink,Salary Bank,41.1,MKD,expense,,,,,
2024-04-26 14:01:00.000,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-04-25 14:01:00.000,Snacks,food_drink,Salary Bank,0.22,EUR,expense,,,,,
2024-04-25 14:00:00.000,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-04-24 14:00:00.000,Shirt,shopping,Salary Bank,7.77,EUR,expense,,,,,
2024-04-24 13:42:04.617,Petrol,fuel,Salary Bank,68.49,MKD,expense,,,,,
2024-04-24 13:41:51.834,Petrol,fuel,Salary Bank,34.25,MKD,expense,,,,,
2024-04-24 13:41:40.008,Snacks,food_drink,Salary Bank,0.67,EUR,expense,,,,,
2024-04-23 17:13:53.508,Team lunch,food_drink,Salary Bank,8.83,EUR,expense,,,,,
2024-04-23 14:43:27.195,Bus,transport,Cash,0.24,USD,expense,,,,,
2024-04-23 14:40:43.848,RtA,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-23 14:40:43.047,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-22 14:43:00.000,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-04-22 14:41:00.000,RtA,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-22 14:41:00.000,Bus Pass,transport,Salary Bank,4.78,EUR,expense,,,,,
2024-04-22 04:55:34.117,Recharge,utilities,Salary Bank,2.88,EUR,expense,,,,,
2024-04-22 04:50:23.089,Adjust balance,balance_adjustment,Savings Bank,0.49,EUR,income,,,,,
2024-04-22 04:49:49.403,Settlement,other,Salary Bank,13.7,MKD,expense,,,,,
2024-04-22 04:49:11.195,Adjust balance,balance_adjustment,Cash,0.22,EUR,expense,,,,,
2024-04-22 04:48:34.081,Bus,transport,Cash,0.33,EUR,expense,,,,,
2024-04-22 04:47:21.338,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-21 04:47:00.000,Juice,food_drink,Salary Bank,0.44,EUR,expense,,,,,
2024-04-21 04:47:00.000,Manchuria,food_drink,Cash,0.78,EUR,expense,,,,,
2024-04-21 03:26:06.969,Breakfast,food_drink,Salary Bank,0.28,EUR,expense,,,,,
2024-04-21 03:25:59.594,Petrol,fuel,Salary Bank,1.11,EUR,expense,,,,,
2024-04-21 03:25:50.659,Tyre,vehicle_maintenance,Cash,0.11,EUR,expense,,,,,
2024-04-20 18:28:32.596,Shirt,shopping,Salary Bank,547.26,MKD,expense,,,,,
2024-04-20 18:28:20.117,Burrito,food_drink,Salary Bank,0.92,EUR,expense,,,,,
2024-04-20 18:28:00.000,person_c PayUp,other_income,Salary Bank,0.99,EUR,income,,,,,
2024-04-20 18:27:48.295,Ice Cream,food_drink,Salary Bank,0.98,EUR,expense,,,,,
2024-04-20 01:58:00.000,Water,food_drink,Cash,0.33,EUR,expense,,,,,
2024-04-19 08:03:00.699,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-04-19 08:02:45.501,RtA,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-19 08:02:43.381,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-18 16:46:10.130,Snacks,food_drink,Salary Bank,0.9,USD,expense,,,,,
2024-04-18 16:45:14.900,Snacks,food_drink,Salary Bank,1.44,EUR,expense,,,,,
2024-04-17 05:06:48.154,Reacharge,transfer,Salary Bank,2.41,USD,transfer,2.41,USD,Metro Card,2.41,USD
2024-04-17 04:00:52.496,AtR,transport,Cash,0.39,EUR,expense,,,,,
2024-04-17 04:00:42.283,Withdraw,transfer,Salary Bank,3.33,EUR,transfer,3.33,EUR,Cash,3.33,EUR
2024-04-16 12:38:52.794,RtA,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-16 07:09:53.181,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-04-16 07:09:46.768,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-15 14:59:31.037,Bus,transport,Cash,0.11,EUR,expense,,,,,
2024-04-15 14:59:23.954,RtA,transport,Metro Card,0.39,EUR,expense,,,,,
2024-04-15 14:59:21.617,Snacks,food_drink,Salary Bank,41.1,MKD,expense,,,,,
2024-04-15 12:38:00.000,Domain,utilities,Salary Bank,6.85,EUR,expense,,,,,
2024-04-15 06:55:17.895,AtR,transport,Metro Card,0.39,EUR,expense,,,,,
