input,mediaType,title,rating,favorite,timeOffset
movie crimson tide 4 stars,movie,Crimson Tide,8,False,PT0M
"saw planes, trains & automobiles 6/10",movie,"Planes, Trains & Automobiles",6,False,PT0M
film batman (1989) 4/10,movie,Batman (1989),4,False,PT0M
watched american history x 9 heart 17h ago,movie,American History X,9,True,-PT17H
movie milk 5 stars,movie,Milk,10,False,PT0M
saw alien 4.5 stars,movie,Alien,9,False,PT0M
saw american beauty 3 stars favourite,movie,American Beauty,6,True,PT0M
film liar liar 6,movie,Liar Liar,6,False,PT0M
"film bourne identity, the (2002) 8/10",movie,"Bourne Identity, The (2002)",8,False,PT0M
saw ghostbusters (a.k.a. ghost busters) 4 -25d,movie,Ghostbusters (a.k.a. Ghost Busters),4,False,-P25D
saw meet the robinsons 6/10 favourite 9 days ago,movie,Meet the Robinsons,6,True,-P9D
watched fever pitch (2005) 7,movie,Fever Pitch (2005),7,False,PT0M
movie rambo: first blood part ii 7/10 17 hours ago,movie,Rambo: First Blood Part II,7,False,-PT17H
movie animal house 4 stars,movie,Animal House,8,False,PT0M
movie scream 5 stars,movie,Scream,10,False,PT0M
watched immortals 10 favorite,movie,Immortals,10,True,PT0M
watched daria: is it college yet? 1 star,movie,Daria: Is It College Yet?,2,False,PT0M
"watched elephant man, the 8 -7d",movie,"Elephant Man, The",8,False,-P7D
saw being john malkovich 7,movie,Being John Malkovich,7,False,PT0M
watched donnie brasco 4.5 stars -29d,movie,Donnie Brasco,9,False,-P29D
movie wall·e 8,movie,WALL·E,8,False,PT0M
"watched italian job, the (2003) 9/10",movie,"Italian Job, The (2003)",9,False,PT0M
saw the scorpion king 6,movie,The Scorpion King,6,False,PT0M
film jurassic park 6 heart -17d,movie,Jurassic Park,6,True,-P17D
film batman forever 8,movie,Batman Forever,8,False,PT0M
watched willow 5 -21d,movie,Willow,5,False,-P21D
saw vantage point 8/10,movie,Vantage Point,8,False,PT0M
"film aviator, the 10 -28d",movie,"Aviator, The",10,False,-P28D
"saw corporation, the 7/10",movie,"Corporation, The",7,False,PT0M
"film view to a kill, a 3.5 stars",movie,"View to a Kill, A",7,False,PT0M
"film avengers, the (2012) 2.5 stars 18 days ago",movie,"Avengers, The (2012)",5,False,-P18D
"saw maltese falcon, the (a.k.a. dangerous female) 10 -3h",movie,"Maltese Falcon, The (a.k.a. Dangerous Female)",10,False,-PT3H
"watched jungle book, the (1967) 10",movie,"Jungle Book, The (1967)",10,False,PT0M
film i.q. 4 9 days ago,movie,I.Q.,4,False,-P9D
movie donnie darko 9 -8h,movie,Donnie Darko,9,False,-PT8H
movie wag the dog 4 stars,movie,Wag the Dog,8,False,PT0M
"movie simpsons movie, the 8",movie,"Simpsons Movie, The",8,False,PT0M
watched apocalypse now 10,movie,Apocalypse Now,10,False,PT0M
"watched incredible hulk, the 6/10",movie,"Incredible Hulk, The",6,False,PT0M
film independence day (a.k.a. id4) 5/10 21d ago,movie,Independence Day (a.k.a. ID4),5,False,-P21D
movie avatar 3 stars ye,movie,Avatar,6,False,-P1D
saw wayne's world 3.5 stars,movie,Wayne's World,7,False,PT0M
movie breakfast at tiffany's 8/10,movie,Breakfast at Tiffany's,8,False,PT0M
film (500) days of summer 9/10,movie,(500) Days of Summer,9,False,PT0M
saw sleepless in seattle 7 favourite,movie,Sleepless in Seattle,7,True,PT0M
movie serenity 9/10 5h ago,movie,Serenity,9,False,-PT5H
"film adventures of rocky and bullwinkle, the 6/10 18 hours ago",movie,"Adventures of Rocky and Bullwinkle, The",6,False,-PT18H
"film lord of the rings: the return of the king, the 3.5 stars",movie,"Lord of the Rings: The Return of the King, The",7,False,PT0M
watched coffee and cigarettes 7/10,movie,Coffee and Cigarettes,7,False,PT0M
watched sunshine (2007) 7 favourite -29d,movie,Sunshine (2007),7,True,-P29D
watched snatch 1.5 stars favourite,movie,Snatch,3,True,PT0M
movie private benjamin 8/10 favorite,movie,Private Benjamin,8,True,PT0M
film sabrina (1954) 4 stars,movie,Sabrina (1954),8,False,PT0M
saw erin brockovich 6,movie,Erin Brockovich,6,False,PT0M
"watched big lebowski, the 3.5 stars",movie,"Big Lebowski, The",7,False,PT0M
saw maximum risk 4 stars 22 hours ago,movie,Maximum Risk,8,False,-PT22H
saw sweet november 4 stars,movie,Sweet November,8,False,PT0M
"movie fish called wanda, a 8/10 14h ago",movie,"Fish Called Wanda, A",8,False,-PT14H
"watched hunt, the (jagten) 8/10 loved 15d ago",movie,"Hunt, The (Jagten)",8,True,-P15D
film indiana jones and the last crusade 8/10,movie,Indiana Jones and the Last Crusade,8,False,PT0M
saw tron 2 stars,movie,Tron,4,False,PT0M
watched requiem for a dream 5 stars,movie,Requiem for a Dream,10,False,PT0M
"movie dance of reality, the (danza de la realidad, la) 7",movie,"Dance of Reality, The (Danza de la realidad, La)",7,False,PT0M
saw band of brothers 5 stars 17 days ago,movie,Band of Brothers,10,False,-P17D
movie howards end 4.5 stars 10d ago,movie,Howards End,9,False,-P10D
saw honeymoon in vegas 4 stars,movie,Honeymoon in Vegas,8,False,PT0M
watched bridge of spies 8/10,movie,Bridge of Spies,8,False,PT0M
"film full monty, the 2/10 9 days ago",movie,"Full Monty, The",2,False,-P9D
film predator 10 10 days ago,movie,Predator,10,False,-P10D
"film world is not enough, the 2 stars 16 hours ago",movie,"World Is Not Enough, The",4,False,-PT16H
"film 2 fast 2 furious (fast and the furious 2, the) 7/10 18d ago",movie,"2 Fast 2 Furious (Fast and the Furious 2, The)",7,False,-P18D
saw alien 6/10,movie,Alien,6,False,PT0M
saw pulp fiction 3 stars,movie,Pulp Fiction,6,False,PT0M
film every secret thing 4,movie,Every Secret Thing,4,False,PT0M
movie deadpool 3.5 stars -20h,movie,Deadpool,7,False,-PT20H
"movie nutty professor, the (1996) 2.5 stars fav 17 hours ago",movie,"Nutty Professor, The (1996)",5,True,-PT17H
film assassins 1 star -28d,movie,Assassins,2,False,-P28D
movie beavis and butt-head do america 3,movie,Beavis and Butt-Head Do America,3,False,PT0M
movie groundhog day 9/10 -11d,movie,Groundhog Day,9,False,-P11D
film ace ventura: pet detective 3 stars,movie,Ace Ventura: Pet Detective,6,False,PT0M
movie fantastic beasts and where to find them 4.5 stars,movie,Fantastic Beasts and Where to Find Them,9,False,PT0M
film resident evil 8/10 fav 8 hours ago,movie,Resident Evil,8,True,-PT8H
"saw mummy returns, the 6/10",movie,"Mummy Returns, The",6,False,PT0M
movie madagascar 7,movie,Madagascar,7,False,PT0M
"saw maltese falcon, the 3.5 stars",movie,"Maltese Falcon, The",7,False,PT0M
saw being there 10/10,movie,Being There,10,False,PT0M
saw on a clear day 4/10 1h ago,movie,On a Clear Day,4,False,-PT1H
film taxi driver 3.5 stars,movie,Taxi Driver,7,False,PT0M
saw dungeons & dragons 2/10 1 hour ago,movie,Dungeons & Dragons,2,False,-PT1H
"watched beautiful mind, a 6",movie,"Beautiful Mind, A",6,False,PT0M
movie lolita (1997) 6 fav,movie,Lolita (1997),6,True,PT0M
saw entrapment 3.5 stars,movie,Entrapment,7,False,PT0M
"movie blind swordsman: zatoichi, the (zatôichi) 4 stars",movie,"Blind Swordsman: Zatoichi, The (Zatôichi)",8,False,PT0M
watched mortal kombat 6/10 favourite -26d,movie,Mortal Kombat,6,True,-P26D
movie monkeybone 4 13h ago,movie,Monkeybone,4,False,-PT13H
saw harry potter and the prisoner of azkaban 8/10,movie,Harry Potter and the Prisoner of Azkaban,8,False,PT0M
"watched faculty, the 5/10",movie,"Faculty, The",5,False,PT0M
saw riding giants 8/10 favorite,movie,Riding Giants,8,True,PT0M
saw superman iii 1.5 stars,movie,Superman III,3,False,PT0M
"watched lust, caution (se, jie) 8/10 13 days ago",movie,"Lust, Caution (Se, jie)",8,False,-P13D
movie groundhog day 5 stars 3 hours ago,movie,Groundhog Day,10,False,-PT3H
saw mulan 4 stars,movie,Mulan,8,False,PT0M
"film edge of heaven, the (auf der anderen seite) 3.5 stars",movie,"Edge of Heaven, The (Auf der anderen Seite)",7,False,PT0M
watched gladiator (2000) 4 stars 14h ago,movie,Gladiator (2000),8,False,-PT14H
movie dawn of the dead (2004) 10 fav,movie,Dawn of the Dead (2004),10,True,PT0M
watched steel magnolias 2 stars,movie,Steel Magnolias,4,False,PT0M
"movie girl with the dragon tattoo, the 10 17h ago",movie,"Girl with the Dragon Tattoo, The",10,False,-PT17H
saw some like it hot 3 stars,movie,Some Like It Hot,6,False,PT0M
saw for a few dollars more (per qualche dollaro in più) 10/10,movie,For a Few Dollars More (Per qualche dollaro in più),10,False,PT0M
"saw terminal, the 2 stars",movie,"Terminal, The",4,False,PT0M
watched 1984 (nineteen eighty-four) 3 stars,movie,1984 (Nineteen Eighty-Four),6,False,PT0M
saw national lampoon's vacation 4 stars,movie,National Lampoon's Vacation,8,False,PT0M
watched patton 8 14 days ago,movie,Patton,8,False,-P14D
film stand by me 7/10,movie,Stand by Me,7,False,PT0M
movie conspiracy theory 4/10,movie,Conspiracy Theory,4,False,PT0M
film girl with a pearl earring 7/10 -5d,movie,Girl with a Pearl Earring,7,False,-P5D
film batman returns 5 stars,movie,Batman Returns,10,False,PT0M
"saw silence of the lambs, the 10/10 favorite 8 hours ago",movie,"Silence of the Lambs, The",10,True,-PT8H
"film black cat, white cat (crna macka, beli macor) 4 stars 10 hours ago",movie,"Black Cat, White Cat (Crna macka, beli macor)",8,False,-PT10H
movie geri's game 3.5 stars 18d ago,movie,Geri's Game,7,False,-P18D
watched goodfellas 10,movie,Goodfellas,10,False,PT0M
movie death proof 4 stars,movie,Death Proof,8,False,PT0M
watched twin peaks: fire walk with me 4 stars,movie,Twin Peaks: Fire Walk with Me,8,False,PT0M
"saw matrix reloaded, the 8",movie,"Matrix Reloaded, The",8,False,PT0M
saw reservoir dogs 10/10,movie,Reservoir Dogs,10,False,PT0M
saw spider-man 4 stars 3 days ago,movie,Spider-Man,8,False,-P3D
movie harry potter and the prisoner of azkaban 7/10 22h ago,movie,Harry Potter and the Prisoner of Azkaban,7,False,-PT22H
"saw amityville horror, the (2005) 6 -9d",movie,"Amityville Horror, The (2005)",6,False,-P9D
movie ever after: a cinderella story 6 favorite,movie,Ever After: A Cinderella Story,6,True,PT0M
film braveheart 3 stars,movie,Braveheart,6,False,PT0M
watched places in the heart 8/10,movie,Places in the Heart,8,False,PT0M
movie problem child 1.5 stars 21 days ago,movie,Problem Child,3,False,-P21D
movie billy madison 4 stars 20 days ago,movie,Billy Madison,8,False,-P20D
saw grease 9,movie,Grease,9,False,PT0M
watched beautiful people 10/10 favorite,movie,Beautiful People,10,True,PT0M
film you only live twice 8/10,movie,You Only Live Twice,8,False,PT0M
"film abyss, the 4 stars",movie,"Abyss, The",8,False,PT0M
watched holes 4,movie,Holes,4,False,PT0M
saw star trek: nemesis 5,movie,Star Trek: Nemesis,5,False,PT0M
"film big lebowski, the 10/10 fav",movie,"Big Lebowski, The",10,True,PT0M
