sessionId,sourceIndex,exercise,setNumber,reps,weightKg
4,91,clean,2,2,60
4,92,clean,3,2,70
4,93,clean,4,4,80
4,94,clean,5,4,80
4,95,clean,6,4,80
4,96,clean,7,4,80
4,97,squat,1,4,50
4,98,squat,2,3,70
4,99,squat,3,2,80
4,100,squat,4,2,90
4,101,squat,5,4,100
4,102,squat,6,4,100
4,103,squat,7,4,100
4,104,squat,8,4,100
5,105,snatch,1,3,40
5,106,snatch,2,3,40
5,107,snatch,3,2,50
5,108,snatch,4,4,60
5,109,snatch,5,4,60
5,110,snatch,6,4,60
5,111,snatch,7,4,60
5,112,clean,1,3,50
5,113,clean,2,3,60
5,114,clean,3,2,70
5,115,clean,4,2,80
5,116,clean,5,4,85
5,117,clean,6,4,85
5,118,clean,7,4,85
5,119,clean,8,4,85
5,120,front_squat,1,4,50
5,121,front_squat,2,3,70
5,122,front_squat,3,3,80
5,123,front_squat,4,4,90
5,124,front_squat,5,4,90
5,125,front_squat,6,4,90
5,126,front_squat,7,4,90
5,127,front_squat,8,4,90
5,128,ohp,1,7,30
5,129,ohp,2,5,40
5,130,ohp,3,5,40
5,131,ohp,4,5,40
5,132,ohp,5,5,40
5,133,ohp,6,9,40
6,134,power_snatch,1,4,40
6,135,power_snatch,2,4,40
6,136,power_snatch,3,3,50
6,137,power_snatch,4,4,60
6,138,power_snatch,5,4,60
6,139,power_snatch,6,4,60
6,140,power_snatch,7,4,60
6,141,power_snatch,8,4,60
6,142,power_clean,1,5,50
6,143,power_clean,2,3,60
6,144,power_clean,3,2,70
6,145,power_clean,4,4,80
6,146,power_clean,5,4,80
6,147,power_clean,6,4,80
6,148,power_clean,7,4,80
6,149,squat,1,5,50
6,150,squat,2,3,70
6,151,squat,3,3,80
6,152,squat,4,2,90
6,153,squat,5,4,100
6,154,squat,6,4,100
6,155,squat,7,4,100
6,156,squat,8,7,100
7,157,snatch,1,3,40
7,158,snatch,2,3,40
7,159,snatch,3,3,50
7,160,snatch,4,4,60
7,161,snatch,5,4,60
7,162,snatch,6,4,65
7,163,snatch,7,4,65
7,164,snatch,8,1,70
7,165,clean,1,4,50
7,166,clean,2,4,60
7,167,clean,3,3,70
7,168,clean,4,2,80
7,169,clean,5,3,90
7,170,clean,6,3,90
7,171,clean,7,6,90
8,172,power_snatch,1,3,40
8,173,power_snatch,2,3,40
8,174,power_snatch,3,3,50
8,175,power_snatch,4,1,55
8,176,power_snatch,5,4,60
8,177,power_snatch,6,4,60
8,178,power_snatch,7,4,60
8,179,power_snatch,8,4,60
8,180,power_clean,1,4,50
8,181,power_clean,2,3,70
8,182,power_clean,3,4,80
8,183,power_clean,4,4,80
8,184,power_clean,5,4,80
8,185,power_clean,6,4,80
9,186,snatch,1,3,40
9,187,snatch,2,3,40
9,188,snatch,3,3,50
9,189,snatch,4,4,60
9,190,snatch,5,4,65
9,191,snatch,6,4,65
9,192,snatch,7,4,65
9,193,snatch,8,4,65
10,194,snatch,1,5,30
10,195,snatch,2,4,40
10,196,snatch,3,3,50
10,197,snatch,4,2,60
10,198,snatch,5,3,65
10,199,snatch,6,3,65
10,200,snatch,7,3,65
10,201,snatch,8,4,65
10,202,snatch,9,2,65
10,203,clean,1,5,50
10,204,clean,2,3,60
10,205,clean,3,2,70
10,206,clean,4,2,80
10,207,clean,5,4,90
10,208,clean,6,4,90
10,209,clean,7,4,90
10,210,clean,8,1,90
11,211,snatch,1,5,40
11,212,snatch,2,4,50
11,213,snatch,3,2,60
11,214,snatch,4,2,65
11,215,snatch,5,4,60
11,216,snatch,6,4,60
11,217,snatch,7,4,60
11,218,snatch,8,4,60
11,219,clean,1,3,50
11,220,clean,2,3,60
11,221,clean,3,3,70
11,222,clean,4,2,80
11,223,clean,5,1,85
11,224,clean,6,4,80
11,225,clean,7,4,80
11,226,clean,8,4,80
11,227,clean,9,4,80
12,228,snatch,1,3,40
12,229,snatch,2,3,40
12,230,snatch,3,3,50
12,231,snatch,4,3,60
12,232,snatch,5,4,65
12,233,snatch,6,4,65
12,234,snatch,7,4,65
12,235,snatch,8,4,65
12,236,snatch,9,1,70
12,237,squat,1,5,50
12,238,squat,2,3,70
12,239,squat,3,3,80
12,240,squat,4,2,90
12,241,squat,5,4,100
12,242,squat,6,4,100
12,243,squat,7,4,100
12,244,squat,8,4,100
12,245,squat,9,4,100
13,246,clean,1,3,40
13,247,clean,2,4,50
13,248,clean,3,3,60
13,249,clean,4,2,70
13,250,clean,5,5,80
13,251,clean,6,5,80
13,252,clean,7,5,80
13,253,clean,8,5,80
13,254,clean,9,6,80
13,255,squat,1,4,50
13,256,squat,2,5,70
13,257,squat,3,3,80
13,258,squat,4,3,90
13,259,squat,5,4,100
13,260,squat,6,4,100
13,261,squat,7,4,100
13,262,squat,8,4,100
14,263,snatch,1,3,40
14,264,snatch,2,3,40
14,265,snatch,3,3,50
14,266,snatch,4,3,60
14,267,snatch,5,2,65
14,268,snatch,6,4,60
14,269,snatch,7,3,60
14,270,snatch_pull,1,5,70
14,271,snatch_pull,2,5,70
14,272,snatch_pull,3,5,70
15,273,clean,1,4,50
15,274,clean,2,3,60
15,275,clean,3,3,70
15,276,clean,4,4,80
15,277,clean,5,4,80
15,278,clean,6,4,80
15,279,clean,7,4,80
15,280,clean,8,1,90
15,281,deadlift,1,4,100
15,282,deadlift,2,4,100
15,283,deadlift,3,4,100
15,284,squat,1,4,50
15,285,squat,2,4,70
15,286,squat,3,4,80
15,287,squat,4,4,90
15,288,squat,5,4,100
15,289,squat,6,4,100
15,290,squat,7,4,100
16,291,snatch,1,3,40
16,292,snatch,2,3,40
16,293,snatch,3,3,50
16,294,snatch,4,3,55
16,295,snatch,5,3,55
16,296,snatch,6,3,55
16,297,clean,1,5,40
16,298,clean,2,3,50
16,299,clean,3,3,60
16,300,clean,4,3,70
16,301,clean,5,3,70
16,302,clean,6,3,70
16,303,squat,1,5,50
16,304,squat,2,3,60
16,305,squat,3,3,70
16,306,squat,4,3,80
16,307,squat,5,3,80
16,308,squat,6,3,80
17,309,snatch,1,3,40
17,310,snatch,2,5,40
17,311,snatch,3,4,50
17,312,snatch,4,3,60
17,313,snatch,5,3,60
17,314,snatch,6,3,60
17,315,clean,1,5,40
17,316,clean,2,3,50
17,317,clean,3,3,60
17,318,clean,4,2,70
17,319,clean,5,3,80
17,320,clean,6,3,80
17,321,clean,7,3,85
17,322,clean,8,1,90
17,323,squat,1,10,50
17,324,squat,2,5,70
17,325,squat,3,2,80
17,326,squat,4,3,90
17,327,squat,5,3,90
17,328,squat,6,3,90
17,329,squat,7,3,90
18,330,snatch,1,4,40
18,331,snatch,2,3,40
18,332,snatch,3,3,50
18,333,snatch,4,4,60
18,334,snatch,5,4,60
18,335,snatch,6,4,60
18,336,snatch,7,4,60
18,337,snatch,8,1,65
18,338,clean,1,5,50
18,339,clean,2,3,60
18,340,clean,3,3,70
18,341,clean,4,4,80
18,342,clean,5,4,80
18,343,clean,6,4,80
18,344,clean,7,4,80
19,345,snatch,1,4,40
19,346,snatch,2,3,50
19,347,snatch,3,4,60
19,348,snatch,4,4,60
19,349,snatch,5,4,60
19,350,snatch,6,4,60
19,351,snatch,7,4,60
19,352,snatch,8,2,65
20,353,snatch,1,4,40
20,354,snatch,2,2,50
20,355,snatch,3,1,55
20,356,snatch,4,3,60
20,357,snatch,5,3,60
20,358,snatch,6,3,65
20,359,snatch,7,3,65
20,360,clean,1,4,50
20,361,clean,2,3,60
20,362,clean,3,3,70
20,363,clean,4,3,80
20,364,clean,5,3,80
20,365,deadlift,1,3,90
20,366,deadlift,2,3,90
20,367,deadlift,3,5,90
21,368,snatch,1,3,40
21,369,snatch,2,3,40
21,370,snatch,3,3,50
21,371,snatch,4,4,60
21,372,snatch,5,4,60
21,373,snatch,6,4,60
21,374,snatch,7,4,60
21,375,clean,1,4,50
21,376,clean,2,2,60
21,377,clean,3,3,70
21,378,clean,4,4,80
21,379,clean,5,4,80
21,380,clean,6,4,80
21,381,clean,7,3,80
21,382,squat,1,5,60
21,383,squat,2,4,80
21,384,squat,3,3,90
21,385,squat,4,4,90
21,386,squat,5,4,90
22,387,snatch,1,3,40
22,388,snatch,2,3,40
22,389,snatch,3,3,50
22,390,snatch,4,4,60
22,391,snatch,5,4,60
22,392,snatch,6,4,60
22,393,snatch,7,4,60
22,394,snatch,8,4,60
22,395,squat,1,5,60
22,396,squat,2,4,80
22,397,squat,3,3,90
22,398,squat,4,4,100
22,399,squat,5,4,100
22,400,squat,6,4,100
22,401,squat,7,4,100
23,402,snatch,1,3,40
23,403,snatch,2,4,40
23,404,snatch,3,4,50
23,405,snatch,4,3,60
23,406,snatch,5,3,65
23,407,snatch,6,3,65
23,408,snatch,7,3,65
23,409,clean,1,5,50
23,410,clean,2,3,70
23,411,clean,3,3,80
23,412,clean,4,3,90
23,413,clean,5,3,90
23,414,clean,6,3,90
23,415,squat,1,5,60
23,416,squat,2,4,80
23,417,squat,3,3,90
23,418,squat,4,3,100
23,419,squat,5,3,100
23,420,squat,6,3,100
23,421,ohp,1,6,40
23,422,ohp,2,6,50
23,423,ohp,3,4,60
23,424,ohp,4,5,60
23,425,ohp,5,8,60
24,426,squat,1,5,50
24,427,squat,2,4,60
24,428,squat,3,3,80
24,429,squat,4,3,90
24,430,squat,5,4,100
24,431,squat,6,4,100
24,432,squat,7,4,100
24,433,squat,8,4,100
24,434,snatch_pull,1,4,50
24,435,snatch_pull,2,4,60
24,436,snatch_pull,3,4,70
24,437,snatch_pull,4,4,70
24,438,snatch_pull,5,4,75
24,439,snatch_pull,6,4,75
25,440,squat,1,5,50
25,441,squat,2,4,60
25,442,squat,3,4,80
25,443,squat,4,2,90
25,444,squat,5,5,90
25,445,squat,6,5,90
25,446,squat,7,5,90
25,447,squat,8,5,90
25,448,snatch_pull,1,4,50
25,449,snatch_pull,2,4,60
25,450,snatch_pull,3,4,70
25,451,snatch_pull,4,4,70
25,452,snatch_pull,5,4,70
25,453,snatch_pull,6,4,70
26,454,snatch,1,3,40
26,455,snatch,2,3,40
26,456,snatch,3,3,50
26,457,snatch,4,3,50
26,458,snatch,5,3,55
26,459,snatch,6,1,60
26,460,clean,1,3,50
26,461,clean,2,3,60
26,462,clean,3,3,70
26,463,clean,4,3,70
26,464,clean,5,3,80
26,465,clean,6,1,90
26,466,squat,1,5,50
26,467,squat,2,4,70
26,468,squat,3,4,80
26,469,squat,4,4,90
26,470,squat,5,4,90
26,471,squat,6,4,90
26,472,squat,7,4,90
26,473,ohp,1,5,40
26,474,ohp,2,5,40
26,475,ohp,3,5,50
26,476,ohp,4,5,50
26,477,ohp,5,5,55
27,478,front_squat,1,4,40
27,479,front_squat,2,4,50
27,480,front_squat,3,4,60
27,481,front_squat,4,4,70
27,482,front_squat,5,5,80
27,483,front_squat,6,5,80
27,484,front_squat,7,5,80
27,485,front_squat,8,5,80
27,486,front_squat,9,5,80
27,487,ohp,1,5,30
27,488,ohp,2,5,40
27,489,ohp,3,5,40
27,490,ohp,4,5,40
28,491,snatch,1,3,40
28,492,snatch,2,3,40
28,493,snatch,3,3,50
28,494,snatch,4,4,55
28,495,snatch,5,4,55
28,496,snatch,6,4,60
28,497,snatch,7,4,60
28,498,snatch,8,1,65
28,499,clean,1,3,50
28,500,clean,2,3,70
28,501,clean,3,4,80
28,502,clean,4,4,80
28,503,clean,5,4,80
28,504,clean,6,4,80
28,505,clean,7,1,95
28,506,squat,1,5,50
28,507,squat,2,3,70
28,508,squat,3,3,90
28,509,squat,4,4,100
28,510,squat,5,4,100
28,511,squat,6,4,100
28,512,squat,7,4,100
28,513,split_jerk,1,5,40
28,514,split_jerk,2,4,50
28,515,split_jerk,3,4,60
29,516,snatch,1,3,40
29,517,snatch,2,2,40
29,518,snatch,3,3,50
29,519,snatch,4,5,60
29,520,snatch,5,4,60
29,521,snatch,6,4,60
29,522,snatch,7,4,60
29,523,snatch,8,1,70
29,524,snatch,9,1,70
29,525,clean,1,4,45
29,526,clean,2,3,70
29,527,clean,3,3,80
29,528,clean,4,4,85
29,529,clean,5,4,85
29,530,clean,6,2,85
29,531,squat,1,5,50
29,532,squat,2,3,70
29,533,squat,3,3,90
29,534,squat,4,4,100
29,535,squat,5,4,100
29,536,squat,6,4,100
29,537,squat,7,4,100
30,538,snatch,1,3,40
30,539,snatch,2,3,40
30,540,snatch,3,3,50
30,541,snatch,4,5,60
30,542,snatch,5,4,60
30,543,snatch,6,4,60
30,544,snatch,7,2,65
30,545,snatch_pull,1,4,75
30,546,snatch_pull,2,4,75
30,547,snatch_pull,3,4,75
30,548,front_squat,1,5,50
30,549,front_squat,2,4,70
30,550,front_squat,3,5,80
30,551,front_squat,4,5,80
30,552,front_squat,5,5,80
30,553,front_squat,6,5,80
30,554,front_squat,7,5,85
31,555,snatch,1,5,30
31,556,snatch,2,3,40
31,557,snatch,3,3,50
31,558,snatch,4,4,60
31,559,snatch,5,4,60
31,560,snatch,6,4,65
31,561,snatch,7,4,65
31,562,clean,1,4,45
31,563,clean,2,2,65
31,564,clean,3,3,75
31,565,clean,4,4,85
31,566,clean,5,4,85
31,567,clean,6,4,85
31,568,clean,7,4,85
31,569,squat,1,4,50
31,570,squat,2,3,70
31,571,squat,3,3,90
31,572,squat,4,4,100
31,573,squat,5,4,100
31,574,squat,6,4,105
31,575,squat,7,4,105
31,576,split_jerk,1,4,40
31,577,split_jerk,2,4,50
31,578,split_jerk,3,2,60
31,579,split_jerk,4,4,60
32,580,snatch,1,3,40
32,581,snatch,2,3,40
32,582,snatch,3,3,50
32,583,snatch,4,4,60
32,584,snatch,5,4,60
32,585,snatch,6,4,60
32,586,snatch,7,4,60
32,587,clean,1,4,45
32,588,clean,2,3,70
32,589,clean,3,4,80
32,590,clean,4,4,80
32,591,clean,5,4,80
32,592,clean,6,4,80
32,593,squat,1,5,50
32,594,squat,2,3,70
32,595,squat,3,3,90
32,596,squat,4,4,100
32,597,squat,5,4,100
32,598,squat,6,4,100
32,599,squat,7,4,100
32,600,split_jerk,1,8,30
32,601,split_jerk,2,5,40
32,602,split_jerk,3,5,40
32,603,split_jerk,4,5,40
33,604,snatch,1,4,40
33,605,snatch,2,3,50
33,606,snatch,3,4,60
33,607,snatch,4,3,65
33,608,snatch,5,4,60
33,609,snatch,6,4,65
33,610,clean,1,4,50
33,611,clean,2,3,70
33,612,clean,3,1,80
33,613,clean,4,1,85
33,614,clean,5,3,90
33,615,clean,6,3,90
33,616,clean,7,3,90
33,617,squat,1,4,80
33,618,squat,2,4,90
33,619,squat,3,4,100
33,620,squat,4,4,100
33,621,squat,5,4,100
33,622,squat,6,4,100
33,623,squat,7,1,110
33,624,squat,8,1,115
34,625,front_squat,1,4,40
34,626,front_squat,2,3,50
34,627,front_squat,3,3,60
34,628,front_squat,4,2,70
34,629,front_squat,5,2,80
34,630,front_squat,6,1,90
34,631,front_squat,7,1,100
34,632,front_squat,8,1,105
34,633,front_squat,9,1,110
34,634,front_squat,10,1,115
34,635,power_snatch,1,4,40
34,636,power_snatch,2,3,50
34,637,power_snatch,3,4,60
34,638,power_snatch,4,4,60
34,639,power_snatch,5,4,60
34,640,power_snatch,6,4,60
34,641,power_snatch,7,1,65
34,642,power_clean,1,4,50
34,643,power_clean,2,3,60
34,644,power_clean,3,2,70
34,645,power_clean,4,4,80
34,646,power_clean,5,4,80
34,647,power_clean,6,4,80
35,648,snatch,1,4,40
35,649,snatch,2,3,50
35,650,snatch,3,4,60
35,651,snatch,4,4,65
35,652,snatch,5,4,65
35,653,snatch,6,4,65
35,654,snatch,7,3,70
35,655,clean,1,4,50
35,656,clean,2,3,70
35,657,clean,3,2,80
35,658,clean,4,1,85
35,659,clean,5,1,95
35,660,clean,6,1,100
35,661,clean,7,3,90
35,662,clean,8,3,90
35,663,squat,1,4,60
35,664,squat,2,3,80
35,665,squat,3,3,90
35,666,squat,4,3,100
35,667,squat,5,3,110
35,668,squat,6,3,115
36,669,snatch,1,4,30
36,670,snatch,2,4,40
36,671,snatch,3,4,50
36,672,snatch,4,2,60
36,673,snatch,5,4,60
36,674,snatch,6,4,60
36,675,snatch,7,4,60
36,676,snatch,8,5,60
36,677,clean_and_jerk,1,4,50
36,678,clean_and_jerk,2,4,50
36,679,clean_and_jerk,3,2,60
36,680,clean_and_jerk,4,1,70
36,681,clean_and_jerk,5,2,80
36,682,clean_and_jerk,6,2,80
36,683,clean_and_jerk,7,2,80
36,684,clean_and_jerk,8,2,80
36,685,clean_and_jerk,9,2,80
36,686,clean_and_jerk,10,2,80
36,687,squat,1,4,60
36,688,squat,2,3,80
36,689,squat,3,2,90
36,690,squat,4,2,100
36,691,squat,5,4,105
36,692,squat,6,4,105
36,693,squat,7,4,105
36,694,squat,8,2,105
37,695,front_squat,1,5,50
37,696,front_squat,2,4,60
37,697,front_squat,3,3,70
37,698,front_squat,4,3,70
37,699,front_squat,5,2,80
37,700,front_squat,6,2,90
37,701,front_squat,7,1,100
37,702,front_squat,8,1,110
37,703,front_squat,9,1,115
37,704,power_snatch,1,3,40
37,705,power_snatch,2,3,50
37,706,power_snatch,3,3,60
37,707,power_snatch,4,3,60
37,708,power_snatch,5,3,60
37,709,power_snatch,6,3,60
37,710,power_snatch,7,1,65
37,711,power_clean,1,4,50
37,712,power_clean,2,2,60
37,713,power_clean,3,2,70
37,714,power_clean,4,2,80
37,715,power_clean,5,2,80
37,716,power_clean,6,2,80
37,717,power_clean,7,1,80
37,718,power_clean,8,1,90
37,719,snatch_pull,1,2,60
37,720,snatch_pull,2,2,70
37,721,snatch_pull,3,4,80
37,722,snatch_pull,4,4,85
37,723,snatch_pull,5,4,85
38,724,snatch,1,4,40
38,725,snatch,2,3,50
38,726,snatch,3,3,60
38,727,snatch,4,3,65
38,728,snatch,5,3,65
38,729,snatch,6,2,70
38,730,snatch,7,2,75
38,731,clean,1,4,50
38,732,clean,2,3,70
38,733,clean,3,1,80
38,734,clean,4,1,85
38,735,clean,5,3,90
38,736,clean,6,3,90
38,737,clean,7,3,90
38,738,squat,1,4,60
38,739,squat,2,4,80
38,740,squat,3,3,95
38,741,squat,4,1,100
38,742,squat,5,1,105
38,743,squat,6,3,110
38,744,squat,7,2,110
38,745,squat,8,3,110
38,746,snatch_balance,1,4,30
38,747,snatch_balance,2,5,40
38,748,snatch_balance,3,4,45
38,749,snatch_balance,4,4,50
38,750,snatch_balance,5,1,60
39,751,snatch,1,5,40
39,752,snatch,2,5,50
39,753,snatch,3,5,55
39,754,snatch,4,5,55
39,755,snatch,5,5,60
39,756,snatch,6,5,65
39,757,snatch,7,1,70
39,758,squat,1,5,40
39,759,squat,2,5,60
39,760,squat,3,4,80
39,761,squat,4,3,90
39,762,squat,5,5,100
39,763,squat,6,5,100
39,764,squat,7,5,100
39,765,squat,8,5,100
39,766,squat,9,5,105
40,774,clean_and_jerk,1,4,50
40,775,clean_and_jerk,2,3,50
40,776,clean_and_jerk,3,5,70
40,777,clean_and_jerk,4,5,70
40,778,clean_and_jerk,5,5,70
40,779,clean_and_jerk,6,5,70
40,780,clean_and_jerk,7,5,75
40,781,squat,1,4,60
40,782,squat,2,3,80
40,783,squat,3,5,90
40,784,squat,4,5,90
40,785,squat,5,5,100
40,786,squat,6,5,100
40,787,squat,7,5,105
41,795,front_squat,1,4,50
41,796,front_squat,2,4,70
41,797,front_squat,3,5,80
41,798,front_squat,4,5,80
41,799,front_squat,5,5,85
41,800,front_squat,6,5,85
41,801,front_squat,7,5,90
41,802,front_squat,8,2,100
41,803,military_press,1,5,30
41,804,military_press,2,4,40
41,805,military_press,3,4,40
41,806,military_press,4,4,40
41,807,military_press,5,6,45
42,808,snatch,1,5,40
42,809,snatch,2,5,50
42,810,snatch,3,5,55
42,811,snatch,4,5,55
42,812,snatch,5,5,60
42,813,snatch,6,5,65
42,814,snatch,7,1,70
42,815,clean,1,4,50
42,816,clean,2,5,70
42,817,clean,3,5,70
42,818,clean,4,5,75
42,819,clean,5,5,75
42,820,clean,6,5,80
42,821,clean,7,5,90
42,822,squat,1,5,70
42,823,squat,2,5,90
42,824,squat,3,5,100
43,825,snatch,1,3,40
43,826,snatch,2,3,40
43,827,snatch,3,3,50
43,828,snatch,4,3,60
43,829,snatch,5,3,60
43,830,snatch,6,3,60
43,831,snatch,7,1,65
43,832,clean_and_jerk,1,3,50
43,833,clean_and_jerk,2,2,60
43,834,clean_and_jerk,3,2,70
43,835,clean_and_jerk,4,3,80
43,836,clean_and_jerk,5,3,80
43,837,clean_and_jerk,6,3,80
43,838,squat,1,4,70
43,839,squat,2,2,90
43,840,squat,3,3,100
43,841,squat,4,3,105
43,842,squat,5,3,110
43,843,squat,6,2,115
44,844,clean_and_jerk,1,3,50
44,845,clean_and_jerk,2,3,60
44,846,clean_and_jerk,3,2,70
44,847,clean_and_jerk,4,3,80
44,848,clean_and_jerk,5,3,80
44,849,clean_and_jerk,6,3,80
44,850,snatch,1,3,30
44,851,snatch,2,3,40
44,852,snatch,3,2,50
44,853,snatch,4,3,60
44,854,snatch,5,3,60
44,855,snatch,6,3,60
44,856,snatch,7,1,50
44,857,snatch,8,1,60
44,858,snatch,9,1,65
44,859,squat,1,5,60
44,860,squat,2,2,80
44,861,squat,3,2,90
44,862,squat,4,3,105
44,863,squat,5,3,110
44,864,squat,6,3,115
46,866,snatch,1,3,40
46,867,snatch,2,3,50
46,868,snatch,3,3,60
46,869,snatch,4,3,60
46,870,snatch,5,1,65
46,871,snatch,6,1,70
46,872,snatch,7,3,60
46,873,clean_and_jerk,1,5,50
46,874,clean_and_jerk,2,2,60
46,875,clean_and_jerk,3,2,70
46,876,clean_and_jerk,4,3,80
46,877,clean_and_jerk,5,3,80
46,878,clean_and_jerk,6,3,80
46,879,squat,1,5,60
46,880,squat,2,4,80
46,881,squat,3,2,90
46,882,squat,4,3,100
46,883,squat,5,3,110
46,884,squat,6,3,100
46,885,squat,7,3,100
47,886,snatch,1,4,40
47,887,snatch,2,4,40
47,888,snatch,3,4,50
47,889,snatch,4,4,55
47,890,snatch,5,4,60
47,891,snatch,6,4,65
47,892,clean_and_jerk,1,4,50
47,893,clean_and_jerk,2,1,60
47,894,clean_and_jerk,3,1,65
47,895,clean_and_jerk,4,4,70
47,896,clean_and_jerk,5,4,75
47,897,clean_and_jerk,6,4,80
47,898,clean_and_jerk,7,4,85
47,899,front_squat,1,4,60
47,900,front_squat,2,4,80
47,901,front_squat,3,3,90
47,902,front_squat,4,4,90
47,903,front_squat,5,4,90
47,904,front_squat,6,4,90
48,905,snatch,1,5,40
48,906,snatch,2,5,50
48,907,snatch,3,5,50
48,908,snatch,4,5,55
48,909,snatch,5,5,60
48,910,snatch,6,5,60
48,911,clean_and_jerk,1,4,50
48,912,clean_and_jerk,2,3,60
48,913,clean_and_jerk,3,5,70
48,914,clean_and_jerk,4,5,70
48,915,clean_and_jerk,5,5,75
48,916,clean_and_jerk,6,5,80
48,917,clean_and_jerk,7,4,80
48,918,clean_and_jerk,8,1,85
48,919,squat,1,5,60
48,920,squat,2,3,80
48,921,squat,3,5,90
48,922,squat,4,5,100
48,923,squat,5,5,100
48,924,squat,6,5,100
49,925,snatch,1,4,40
49,926,snatch,2,5,50
49,927,snatch,3,5,55
49,928,snatch,4,5,60
49,929,snatch,5,5,60
49,930,snatch,6,5,65
49,931,clean_and_jerk,1,4,50
49,932,clean_and_jerk,2,5,70
49,933,clean_and_jerk,3,5,70
49,934,clean_and_jerk,4,5,75
49,935,clean_and_jerk,5,5,75
49,936,clean_and_jerk,6,5,80
49,937,squat,1,3,60
49,938,squat,2,3,80
49,939,squat,3,5,90
49,940,squat,4,5,100
49,941,squat,5,5,100
49,942,squat,6,5,100
49,943,squat,7,5,100
50,944,snatch,1,3,40
50,945,snatch,2,3,40
50,946,snatch,3,3,50
50,947,snatch,4,3,60
50,948,snatch,5,2,70
50,949,snatch,6,1,75
50,950,snatch,7,1,75
50,951,clean_and_jerk,1,4,40
50,952,clean_and_jerk,2,3,40
50,953,clean_and_jerk,3,3,50
50,954,clean_and_jerk,4,3,60
50,955,clean_and_jerk,5,3,70
50,956,clean_and_jerk,6,2,80
50,957,clean_and_jerk,7,1,90
51,958,snatch,1,3,40
51,959,snatch,2,4,40
51,960,snatch,3,2,50
51,961,snatch,4,2,60
51,962,snatch,5,1,60
51,963,snatch,6,1,65
51,964,snatch,7,1,70
51,965,snatch,8,1,75
51,966,snatch,9,1,70
51,967,clean_and_jerk,1,3,50
51,968,clean_and_jerk,2,2,70
51,969,clean_and_jerk,3,2,70
51,970,clean_and_jerk,4,1,80
51,971,clean_and_jerk,5,1,85
51,972,clean_and_jerk,6,1,90
51,973,squat,1,3,50
51,974,squat,2,3,70
51,975,squat,3,2,90
51,976,squat,4,2,100
51,977,squat,5,2,110
51,978,squat,6,1,120
51,979,squat,7,1,125
51,980,squat,8,1,130
51,981,power_snatch,1,5,20
51,982,power_snatch,2,5,20
51,983,power_snatch,3,5,20
51,984,power_snatch,4,5,10
51,985,power_snatch,5,5,10
51,986,power_snatch,6,5,10
52,987,snatch,1,3,40
52,988,snatch,2,3,40
52,989,snatch,3,3,50
52,990,snatch,4,3,50
52,991,snatch,5,2,60
52,992,snatch,6,1,70
