previousInput,input,exercise,setNumber,reps,weightKg
snatch #4 50+10x4,60x4,snatch,5,4,60
snatch s5 60 r4,60x4,snatch,6,4,60
snatch #6 60x4,60x4,snatch,7,4,60
,clean s1 50 4,clean,1,4,50
clean s1 50 4,set2 50kg +10kg x2,clean,2,2,60
clean set2 50kg +10kg x2,clean #3 70 r2,clean,3,2,70
clean #3 70 r2,clean #4 70+10x2,clean,4,2,80
clean #4 70+10x2,s5 80 +5 4r,clean,5,4,85
clean s5 80 +5 4r,clean s6 85x4,clean,6,4,85
clean s6 85x4,clean set7 85+5 r4,clean,7,4,90
clean set7 85+5 r4,clean set8 90 4reps,clean,8,4,90
clean set8 90 4reps,fs set1 50x4,front_squat,1,4,50
fs set1 50x4,+20 x2,front_squat,2,2,70
fs #2 70kgx2,+10 x3,front_squat,3,3,80
fs s3 70 +10 r3,fs #4 80 +10 2reps,front_squat,4,2,90
fs #4 80 +10 2reps,set5 90kg +5kg x4,front_squat,5,4,95
fs set5 90kg +5kg x4,set6 95 4,front_squat,6,4,95
fs set6 95 4,95x3,front_squat,7,3,95
fs #7 95x3,95x4,front_squat,8,4,95
,snatch #1 40x3,snatch,1,3,40
snatch #1 40x3,snatch #2 40x3,snatch,2,3,40
snatch #2 40x3,snatch s3 40+10 2reps,snatch,3,2,50
snatch s3 40+10 2reps,snatch s4 60x2,snatch,4,2,60
snatch s4 60x2,s5 60kg +5kg x3,snatch,5,3,65
snatch s5 60kg +5kg x3,65x3,snatch,6,3,65
snatch set6 65 r3,snatch #7 65kgx3,snatch,7,3,65
,clean set1 50x4,clean,1,4,50
clean set1 50x4,clean s2 60x2,clean,2,2,60
clean s2 60x2,+10 x2,clean,3,2,70
clean set3 70kgx2,s4 80x4,clean,4,4,80
clean s4 80x4,80x4,clean,5,4,80
clean set5 80 r4,clean #6 80x4,clean,6,4,80
clean #6 80x4,80x4,clean,7,4,80
,squat s1 50kgx4,squat,1,4,50
squat s1 50kgx4,squat #2 50kg +20kg x3,squat,2,3,70
squat #2 50kg +20kg x3,+10 x2,squat,3,2,80
squat s3 70kg +10kg x2,squat set4 80kg +10kg x2,squat,4,2,90
squat set4 80kg +10kg x2,squat set5 90kg +10kg x4,squat,5,4,100
squat set5 90kg +10kg x4,100x4,squat,6,4,100
squat s6 100kgx4,100x4,squat,7,4,100
squat #7 100kgx4,#8 100kgx4,squat,8,4,100
,snatch #1 40 r3,snatch,1,3,40
snatch #1 40 r3,set2 40kgx3,snatch,2,3,40
snatch set2 40kgx3,+10 x2,snatch,3,2,50
snatch #3 40kg +10kg x2,+10 x4,snatch,4,4,60
snatch set4 50kg +10kg x4,60x4,snatch,5,4,60
snatch set5 60x4,60x4,snatch,6,4,60
snatch set6 60 4r,snatch set7 60 4r,snatch,7,4,60
,clean set1 50x3,clean,1,3,50
clean set1 50x3,s2 60x3,clean,2,3,60
clean s2 60x3,clean #3 60kg +10kg x2,clean,3,2,70
clean #3 60kg +10kg x2,#4 80x2,clean,4,2,80
clean #4 80x2,clean #5 80 +5 4reps,clean,5,4,85
clean #5 80 +5 4reps,85x4,clean,6,4,85
clean s6 85kgx4,clean s7 85x4,clean,7,4,85
clean s7 85x4,s8 85 4r,clean,8,4,85
clean s8 85 4r,fs s1 50x4,front_squat,1,4,50
fs s1 50x4,s2 70x3,front_squat,2,3,70
fs s2 70x3,+10 x3,front_squat,3,3,80
fs set3 70 +10 3,fs set4 80 +10 4reps,front_squat,4,4,90
fs set4 80 +10 4reps,90x4,front_squat,5,4,90
fs #5 90x4,fs s6 90kgx4,front_squat,6,4,90
fs s6 90kgx4,s7 90x4,front_squat,7,4,90
fs s7 90x4,90x4,front_squat,8,4,90
,press s1 30 r7,ohp,1,7,30
press s1 30 r7,+10 x5,ohp,2,5,40
ohp #2 40kgx5,40x5,ohp,3,5,40
press set3 40kgx5,ohp #4 40 5reps,ohp,4,5,40
ohp #4 40 5reps,40x5,ohp,5,5,40
ohp set5 40 r5,40x9,ohp,6,9,40
,psnatch #1 40x4,power_snatch,1,4,40
psnatch #1 40x4,psnatch #2 40kgx4,power_snatch,2,4,40
psnatch #2 40kgx4,set3 40+10x3,power_snatch,3,3,50
psnatch set3 40+10x3,psnatch #4 50+10x4,power_snatch,4,4,60
psnatch #4 50+10x4,psnatch set5 60x4,power_snatch,5,4,60
psnatch set5 60x4,s6 60kgx4,power_snatch,6,4,60
psnatch s6 60kgx4,#7 60kgx4,power_snatch,7,4,60
psnatch #7 60kgx4,#8 60x4,power_snatch,8,4,60
psnatch #8 60x4,pclean s1 50 5,power_clean,1,5,50
pclean s1 50 5,pclean s2 60x3,power_clean,2,3,60
pclean s2 60x3,pclean #3 60kg +10kg x2,power_clean,3,2,70
pclean #3 60kg +10kg x2,set4 80 4reps,power_clean,4,4,80
pclean set4 80 4reps,80x4,power_clean,5,4,80
pclean s5 80kgx4,#6 80kgx4,power_clean,6,4,80
pclean #6 80kgx4,s7 80 r4,power_clean,7,4,80
,squat #1 50kgx5,squat,1,5,50
squat #1 50kgx5,squat #2 50kg +20kg x3,squat,2,3,70
squat #2 50kg +20kg x3,+10 x3,squat,3,3,80
squat #3 70 +10 3r,s4 90x2,squat,4,2,90
squat s4 90x2,squat #5 100x4,squat,5,4,100
squat #5 100x4,s6 100x4,squat,6,4,100
squat s6 100x4,100x4,squat,7,4,100
squat s7 100 4,squat set8 100x7,squat,8,7,100
,snatch #1 40kgx3,snatch,1,3,40
snatch #1 40kgx3,#2 40 3reps,snatch,2,3,40
snatch #2 40 3reps,snatch #3 40+10x3,snatch,3,3,50
snatch #3 40+10x3,#4 50+10x4,snatch,4,4,60
snatch #4 50+10x4,snatch s5 60x4,snatch,5,4,60
snatch s5 60x4,set6 65 r4,snatch,6,4,65
snatch set6 65 r4,snatch s7 65x4,snatch,7,4,65
snatch s7 65x4,s8 65kg +5kg x1,snatch,8,1,70
,clean #1 50kgx4,clean,1,4,50
clean #1 50kgx4,+10 x4,clean,2,4,60
clean set2 50+10 r4,#3 60+10 r3,clean,3,3,70
clean #3 60+10 r3,#4 80 2reps,clean,4,2,80
clean #4 80 2reps,clean s5 90 r3,clean,5,3,90
clean s5 90 r3,clean #6 90 r3,clean,6,3,90
clean #6 90 r3,#7 90kgx6,clean,7,6,90
,psnatch #1 40kgx3,power_snatch,1,3,40
psnatch #1 40kgx3,#2 40 3,power_snatch,2,3,40
psnatch #2 40 3,+10 x3,power_snatch,3,3,50
psnatch s3 40+10x3,psnatch s4 50+5x1,power_snatch,4,1,55
psnatch s4 50+5x1,+5 x4,power_snatch,5,4,60
psnatch set5 55+5 4,s6 60kgx4,power_snatch,6,4,60
psnatch s6 60kgx4,psnatch s7 60kgx4,power_snatch,7,4,60
psnatch s7 60kgx4,60x4,power_snatch,8,4,60
,pclean #1 50kgx4,power_clean,1,4,50
pclean #1 50kgx4,+20 x3,power_clean,2,3,70
pclean set2 70x3,#3 80 r4,power_clean,3,4,80
pclean #3 80 r4,set4 80x4,power_clean,4,4,80
pclean set4 80x4,#5 80 4,power_clean,5,4,80
pclean #5 80 4,s6 80 4reps,power_clean,6,4,80
,snatch set1 40x3,snatch,1,3,40
snatch set1 40x3,snatch #2 40kgx3,snatch,2,3,40
snatch #2 40kgx3,snatch set3 50 3reps,snatch,3,3,50
snatch set3 50 3reps,+10 x4,snatch,4,4,60
snatch #4 50kg +10kg x4,s5 65 4r,snatch,5,4,65
snatch s5 65 4r,65x4,snatch,6,4,65
snatch s6 65kgx4,65x4,snatch,7,4,65
snatch set7 65 4r,snatch set8 65 4r,snatch,8,4,65
,snatch #1 30kgx5,snatch,1,5,30
snatch #1 30kgx5,+10 x4,snatch,2,4,40
snatch s2 40x4,snatch #3 40 +10 r3,snatch,3,3,50
snatch #3 40 +10 r3,snatch set4 60 2r,snatch,4,2,60
snatch set4 60 2r,s5 65kgx3,snatch,5,3,65
snatch s5 65kgx3,set6 65x3,snatch,6,3,65
snatch set6 65x3,s7 65kgx3,snatch,7,3,65
snatch s7 65kgx3,snatch set8 65 4r,snatch,8,4,65
snatch set8 65 4r,set9 65 2,snatch,9,2,65
,clean set1 50kgx5,clean,1,5,50
clean set1 50kgx5,+10 x3,clean,2,3,60
clean #2 50+10 3,clean s3 60+10x2,clean,3,2,70
clean s3 60+10x2,clean s4 70+10 2r,clean,4,2,80
clean s4 70+10 2r,clean #5 80+10 r4,clean,5,4,90
clean #5 80+10 r4,#6 90kgx4,clean,6,4,90
clean #6 90kgx4,clean set7 90x4,clean,7,4,90
clean set7 90x4,clean #8 90 1,clean,8,1,90
,snatch set1 40x5,snatch,1,5,40
snatch set1 40x5,set2 40kg +10kg x4,snatch,2,4,50
snatch set2 40kg +10kg x4,#3 60kgx2,snatch,3,2,60
snatch #3 60kgx2,snatch set4 65 2r,snatch,4,2,65
snatch set4 65 2r,-5 x4,snatch,5,4,60
snatch s5 60kgx4,60x4,snatch,6,4,60
snatch s6 60kgx4,60x4,snatch,7,4,60
snatch #7 60kgx4,snatch #8 60x4,snatch,8,4,60
snatch #8 60x4,clean s1 50 3r,clean,1,3,50
clean s1 50 3r,+10 x3,clean,2,3,60
clean set2 50+10x3,s3 70 3,clean,3,3,70
clean s3 70 3,+10 x2,clean,4,2,80
clean set4 80kgx2,+5 x1,clean,5,1,85
clean s5 80+5 r1,clean #6 85-5x4,clean,6,4,80
clean #6 85-5x4,80x4,clean,7,4,80
clean s7 80 4r,clean #8 80 4,clean,8,4,80
clean #8 80 4,clean #9 80x4,clean,9,4,80
,snatch s1 40 r3,snatch,1,3,40
snatch s1 40 r3,set2 40x3,snatch,2,3,40
snatch set2 40x3,snatch set3 40kg +10kg x3,snatch,3,3,50
snatch set3 40kg +10kg x3,+10 x3,snatch,4,3,60
snatch s4 50kg +10kg x3,snatch #5 65 4reps,snatch,5,4,65
snatch #5 65 4reps,snatch #6 65x4,snatch,6,4,65
snatch #6 65x4,snatch s7 65kgx4,snatch,7,4,65
snatch s7 65kgx4,65x4,snatch,8,4,65
snatch #8 65x4,snatch #9 70kgx1,snatch,9,1,70
,squat #1 50x5,squat,1,5,50
squat #1 50x5,squat set2 70 3reps,squat,2,3,70
squat set2 70 3reps,+10 x3,squat,3,3,80
squat s3 70+10 3,#4 90 2reps,squat,4,2,90
squat #4 90 2reps,+10 x4,squat,5,4,100
squat #5 90 +10 4reps,s6 100 r4,squat,6,4,100
squat s6 100 r4,100x4,squat,7,4,100
squat #7 100kgx4,set8 100kgx4,squat,8,4,100
squat set8 100kgx4,#9 100kgx4,squat,9,4,100
,clean #1 40 3,clean,1,3,40
clean #1 40 3,s2 50x4,clean,2,4,50
clean s2 50x4,clean #3 50 +10 3reps,clean,3,3,60
clean #3 50 +10 3reps,s4 70x2,clean,4,2,70
clean s4 70x2,set5 70 +10 5reps,clean,5,5,80
clean set5 70 +10 5reps,#6 80kgx5,clean,6,5,80
clean #6 80kgx5,#7 80x5,clean,7,5,80
clean #7 80x5,80x5,clean,8,5,80
clean set8 80kgx5,80x6,clean,9,6,80
,squat s1 50x4,squat,1,4,50
squat s1 50x4,+20 x5,squat,2,5,70
squat s2 70kgx5,#3 80x3,squat,3,3,80
squat #3 80x3,#4 80+10x3,squat,4,3,90
squat #4 80+10x3,squat s5 90+10 4,squat,5,4,100
squat s5 90+10 4,squat #6 100x4,squat,6,4,100
squat #6 100x4,squat set7 100 4reps,squat,7,4,100
squat set7 100 4reps,s8 100x4,squat,8,4,100
,snatch set1 40x3,snatch,1,3,40
snatch set1 40x3,s2 40 3,snatch,2,3,40
snatch s2 40 3,snatch set3 40kg +10kg x3,snatch,3,3,50
snatch set3 40kg +10kg x3,snatch #4 50+10 r3,snatch,4,3,60
snatch #4 50+10 r3,s5 65kgx2,snatch,5,2,65
snatch s5 65kgx2,-5 x4,snatch,6,4,60
snatch #6 65 -5 4reps,60x3,snatch,7,3,60
snatch set7 60 3r,spull #1 70 5r,snatch_pull,1,5,70
spull #1 70 5r,s2 70 r5,snatch_pull,2,5,70
spull s2 70 r5,spull set3 70kgx5,snatch_pull,3,5,70
,clean #1 50 r4,clean,1,4,50
clean #1 50 r4,clean set2 50kg +10kg x3,clean,2,3,60
clean set2 50kg +10kg x3,set3 70kgx3,clean,3,3,70
clean set3 70kgx3,clean #4 70 +10 4r,clean,4,4,80
clean #4 70 +10 4r,80x4,clean,5,4,80
clean #5 80 4reps,80x4,clean,6,4,80
clean #6 80kgx4,set7 80 4,clean,7,4,80
clean set7 80 4,clean set8 90kgx1,clean,8,1,90
,deadlift set1 100x4,deadlift,1,4,100
deadlift set1 100x4,deadlift s2 100 4reps,deadlift,2,4,100
deadlift s2 100 4reps,100x4,deadlift,3,4,100
,squat #1 50kgx4,squat,1,4,50
squat #1 50kgx4,#2 50+20x4,squat,2,4,70
squat #2 50+20x4,squat #3 70 +10 r4,squat,3,4,80
squat #3 70 +10 r4,squat s4 90x4,squat,4,4,90
squat s4 90x4,+10 x4,squat,5,4,100
squat s5 100kgx4,squat set6 100x4,squat,6,4,100
squat set6 100x4,100x4,squat,7,4,100
,snatch #1 40kgx3,snatch,1,3,40
snatch #1 40kgx3,snatch #2 40x3,snatch,2,3,40
snatch #2 40x3,+10 x3,snatch,3,3,50
snatch s3 40+10 r3,snatch #4 55kgx3,snatch,4,3,55
snatch #4 55kgx3,55x3,snatch,5,3,55
snatch s5 55 3r,snatch s6 55kgx3,snatch,6,3,55
,clean set1 40x5,clean,1,5,40
clean set1 40x5,set2 40+10 3r,clean,2,3,50
clean set2 40+10 3r,set3 50+10x3,clean,3,3,60
clean set3 50+10x3,+10 x3,clean,4,3,70
clean #4 60kg +10kg x3,70x3,clean,5,3,70
clean #5 70kgx3,70x3,clean,6,3,70
,squat set1 50x5,squat,1,5,50
squat set1 50x5,set2 50kg +10kg x3,squat,2,3,60
squat set2 50kg +10kg x3,+10 x3,squat,3,3,70
squat s3 70 3,+10 x3,squat,4,3,80
squat #4 80x3,squat set5 80kgx3,squat,5,3,80
squat set5 80kgx3,80x3,squat,6,3,80
,snatch s1 40kgx3,snatch,1,3,40
snatch s1 40kgx3,40x5,snatch,2,5,40
snatch #2 40kgx5,snatch s3 50x4,snatch,3,4,50
snatch s3 50x4,+10 x3,snatch,4,3,60
snatch #4 50+10x3,#5 60kgx3,snatch,5,3,60
snatch #5 60kgx3,snatch s6 60 r3,snatch,6,3,60
,clean s1 40kgx5,clean,1,5,40
clean s1 40kgx5,clean set2 40 +10 3reps,clean,2,3,50
clean set2 40 +10 3reps,s3 60x3,clean,3,3,60
clean s3 60x3,+10 x2,clean,4,2,70
clean set4 60 +10 2reps,clean #5 70 +10 3,clean,5,3,80
clean #5 70 +10 3,clean #6 80x3,clean,6,3,80
clean #6 80x3,clean #7 80+5 3,clean,7,3,85
clean #7 80+5 3,clean set8 85+5x1,clean,8,1,90
,squat s1 50x10,squat,1,10,50
squat s1 50x10,+20 x5,squat,2,5,70
squat #2 50+20 5reps,+10 x2,squat,3,2,80
squat #3 80kgx2,#4 90 3,squat,4,3,90
squat #4 90 3,squat set5 90kgx3,squat,5,3,90
squat set5 90kgx3,90x3,squat,6,3,90
squat s6 90 3,90x3,squat,7,3,90
,snatch s1 40kgx4,snatch,1,4,40
snatch s1 40kgx4,40x3,snatch,2,3,40
snatch #2 40kgx3,snatch s3 40+10 r3,snatch,3,3,50
snatch s3 40+10 r3,snatch #4 60x4,snatch,4,4,60
snatch #4 60x4,60x4,snatch,5,4,60
snatch set5 60 4r,snatch #6 60x4,snatch,6,4,60
snatch #6 60x4,snatch set7 60x4,snatch,7,4,60
snatch set7 60x4,#8 65kgx1,snatch,8,1,65
snatch #8 65kgx1,clean set1 50 5r,clean,1,5,50
clean set1 50 5r,clean s2 50 +10 3reps,clean,2,3,60
clean s2 50 +10 3reps,clean s3 60+10x3,clean,3,3,70
clean s3 60+10x3,clean #4 70+10x4,clean,4,4,80
clean #4 70+10x4,s5 80kgx4,clean,5,4,80
clean s5 80kgx4,#6 80kgx4,clean,6,4,80
clean #6 80kgx4,clean set7 80kgx4,clean,7,4,80
,snatch s1 40x4,snatch,1,4,40
snatch s1 40x4,+10 x3,snatch,2,3,50
snatch set2 50kgx3,snatch s3 50kg +10kg x4,snatch,3,4,60
snatch s3 50kg +10kg x4,s4 60x4,snatch,4,4,60
snatch s4 60x4,snatch #5 60x4,snatch,5,4,60
snatch #5 60x4,set6 60 4,snatch,6,4,60
snatch set6 60 4,snatch #7 60x4,snatch,7,4,60
snatch #7 60x4,+5 x2,snatch,8,2,65
,snatch #1 40kgx4,snatch,1,4,40
snatch #1 40kgx4,+10 x2,snatch,2,2,50
snatch s2 40+10 2,+5 x1,snatch,3,1,55
snatch set3 50+5 r1,snatch set4 55 +5 3,snatch,4,3,60
snatch set4 55 +5 3,60x3,snatch,5,3,60
snatch set5 60kgx3,+5 x3,snatch,6,3,65
snatch set6 60kg +5kg x3,65x3,snatch,7,3,65
snatch #7 65kgx3,clean s1 50kgx4,clean,1,4,50
clean s1 50kgx4,#2 50+10 r3,clean,2,3,60
clean #2 50+10 r3,clean s3 70 r3,clean,3,3,70
clean s3 70 r3,clean s4 70kg +10kg x3,clean,4,3,80
clean s4 70kg +10kg x3,clean set5 80 3reps,clean,5,3,80
,dl s1 90kgx3,deadlift,1,3,90
dl s1 90kgx3,deadlift set2 90 3reps,deadlift,2,3,90
deadlift set2 90 3reps,#3 90kgx5,deadlift,3,5,90
,snatch #1 40 3,snatch,1,3,40
snatch #1 40 3,snatch set2 40kgx3,snatch,2,3,40
snatch set2 40kgx3,+10 x3,snatch,3,3,50
snatch s3 50x3,snatch s4 60 4reps,snatch,4,4,60
snatch s4 60 4reps,snatch s5 60x4,snatch,5,4,60
snatch s5 60x4,snatch s6 60x4,snatch,6,4,60
snatch s6 60x4,60x4,snatch,7,4,60
,clean s1 50x4,clean,1,4,50
clean s1 50x4,clean set2 50+10x2,clean,2,2,60
clean set2 50+10x2,clean set3 70x3,clean,3,3,70
clean set3 70x3,clean #4 80 r4,clean,4,4,80
clean #4 80 r4,clean #5 80 4,clean,5,4,80
clean #5 80 4,clean #6 80kgx4,clean,6,4,80
clean #6 80kgx4,clean set7 80kgx3,clean,7,3,80
,squat #1 60 5,squat,1,5,60
squat #1 60 5,squat s2 60+20x4,squat,2,4,80
squat s2 60+20x4,+10 x3,squat,3,3,90
squat set3 80+10x3,90x4,squat,4,4,90
squat #4 90 r4,squat #5 90 4,squat,5,4,90
,snatch set1 40 3r,snatch,1,3,40
snatch set1 40 3r,#2 40x3,snatch,2,3,40
snatch #2 40x3,set3 40kg +10kg x3,snatch,3,3,50
snatch set3 40kg +10kg x3,snatch s4 60kgx4,snatch,4,4,60
snatch s4 60kgx4,60x4,snatch,5,4,60
snatch s5 60 4,60x4,snatch,6,4,60
snatch #6 60x4,set7 60 r4,snatch,7,4,60
snatch set7 60 r4,60x4,snatch,8,4,60
,squat #1 60x5,squat,1,5,60
squat #1 60x5,#2 80x4,squat,2,4,80
squat #2 80x4,s3 80kg +10kg x3,squat,3,3,90
squat s3 80kg +10kg x3,set4 90+10 r4,squat,4,4,100
squat set4 90+10 r4,squat #5 100 4r,squat,5,4,100
squat #5 100 4r,squat s6 100 4r,squat,6,4,100
squat s6 100 4r,squat set7 100kgx4,squat,7,4,100
,snatch set1 40x3,snatch,1,3,40
snatch set1 40x3,40x4,snatch,2,4,40
snatch s2 40x4,snatch #3 50x4,snatch,3,4,50
snatch #3 50x4,snatch set4 50 +10 3,snatch,4,3,60
snatch set4 50 +10 3,+5 x3,snatch,5,3,65
snatch set5 65x3,65x3,snatch,6,3,65
snatch s6 65x3,snatch s7 65x3,snatch,7,3,65
,clean s1 50x5,clean,1,5,50
clean s1 50x5,clean s2 50+20x3,clean,2,3,70
clean s2 50+20x3,set3 70+10x3,clean,3,3,80
clean set3 70+10x3,s4 90kgx3,clean,4,3,90
clean s4 90kgx3,clean s5 90x3,clean,5,3,90
clean s5 90x3,clean set6 90 r3,clean,6,3,90
,squat #1 60kgx5,squat,1,5,60
squat #1 60kgx5,set2 80x4,squat,2,4,80
squat set2 80x4,squat s3 80+10 3,squat,3,3,90
squat s3 80+10 3,squat s4 100x3,squat,4,3,100
squat s4 100x3,100x3,squat,5,3,100
squat set5 100 3,#6 100kgx3,squat,6,3,100
squat #6 100kgx3,press #1 40 6reps,ohp,1,6,40
press #1 40 6reps,ohp set2 40 +10 6,ohp,2,6,50
ohp set2 40 +10 6,ohp #3 50+10x4,ohp,3,4,60
ohp #3 50+10x4,60x5,ohp,4,5,60
press #4 60x5,ohp #5 60 8reps,ohp,5,8,60
,squat set1 50kgx5,squat,1,5,50
squat set1 50kgx5,set2 60 4,squat,2,4,60
squat set2 60 4,squat s3 60+20x3,squat,3,3,80
squat s3 60+20x3,squat set4 90 3r,squat,4,3,90
squat set4 90 3r,squat set5 90kg +10kg x4,squat,5,4,100
squat set5 90kg +10kg x4,s6 100x4,squat,6,4,100
squat s6 100x4,100x4,squat,7,4,100
squat s7 100kgx4,100x4,squat,8,4,100
squat #8 100 4,spull set1 50x4,snatch_pull,1,4,50
spull set1 50x4,s2 50 +10 r4,snatch_pull,2,4,60
spull s2 50 +10 r4,spull set3 60+10 4r,snatch_pull,3,4,70
spull set3 60+10 4r,70x4,snatch_pull,4,4,70
spull #4 70 4,#5 70 +5 4reps,snatch_pull,5,4,75
spull #5 70 +5 4reps,set6 75 r4,snatch_pull,6,4,75
,squat set1 50x5,squat,1,5,50
squat set1 50x5,+10 x4,squat,2,4,60
squat #2 50+10 4reps,+20 x4,squat,3,4,80
squat s3 80kgx4,squat #4 80kg +10kg x2,squat,4,2,90
squat #4 80kg +10kg x2,90x5,squat,5,5,90
squat s5 90x5,90x5,squat,6,5,90
squat s6 90 5reps,set7 90x5,squat,7,5,90
squat set7 90x5,90x5,squat,8,5,90
,spull set1 50kgx4,snatch_pull,1,4,50
spull set1 50kgx4,s2 50kg +10kg x4,snatch_pull,2,4,60
spull s2 50kg +10kg x4,+10 x4,snatch_pull,3,4,70
spull s3 60+10 4reps,#4 70x4,snatch_pull,4,4,70
spull #4 70x4,#5 70 r4,snatch_pull,5,4,70
spull #5 70 r4,70x4,snatch_pull,6,4,70
,snatch #1 40kgx3,snatch,1,3,40
snatch #1 40kgx3,snatch #2 40kgx3,snatch,2,3,40
snatch #2 40kgx3,+10 x3,snatch,3,3,50
snatch s3 50x3,50x3,snatch,4,3,50
snatch s4 50 r3,snatch set5 50kg +5kg x3,snatch,5,3,55
snatch set5 50kg +5kg x3,s6 55+5x1,snatch,6,1,60
snatch s6 55+5x1,clean s1 50 r3,clean,1,3,50
clean s1 50 r3,+10 x3,clean,2,3,60
clean #2 50+10x3,set3 60kg +10kg x3,clean,3,3,70
clean set3 60kg +10kg x3,clean #4 70 3,clean,4,3,70
clean #4 70 3,+10 x3,clean,5,3,80
clean #5 70 +10 3reps,clean s6 90x1,clean,6,1,90
,squat set1 50x5,squat,1,5,50
squat set1 50x5,+20 x4,squat,2,4,70
squat s2 70 4,set3 70 +10 4reps,squat,3,4,80
squat set3 70 +10 4reps,+10 x4,squat,4,4,90
squat s4 80kg +10kg x4,squat #5 90kgx4,squat,5,4,90
squat #5 90kgx4,squat #6 90kgx4,squat,6,4,90
squat #6 90kgx4,90x4,squat,7,4,90
squat s7 90 4r,ohp #1 40kgx5,ohp,1,5,40
ohp #1 40kgx5,set2 40x5,ohp,2,5,40
press set2 40x5,ohp s3 40 +10 r5,ohp,3,5,50
ohp s3 40 +10 r5,ohp #4 50kgx5,ohp,4,5,50
ohp #4 50kgx5,ohp #5 50 +5 5r,ohp,5,5,55
,fs s1 40x4,front_squat,1,4,40
fs s1 40x4,+10 x4,front_squat,2,4,50
fs s2 40+10x4,#3 50+10x4,front_squat,3,4,60
fs #3 50+10x4,fs set4 60 +10 r4,front_squat,4,4,70
fs set4 60 +10 r4,set5 80kgx5,front_squat,5,5,80
fs set5 80kgx5,fs set6 80x5,front_squat,6,5,80
fs set6 80x5,fs s7 80 5,front_squat,7,5,80
fs s7 80 5,80x5,front_squat,8,5,80
fs #8 80 5r,fs set9 80 5,front_squat,9,5,80
,press #1 30kgx5,ohp,1,5,30
